"date","minute","variable","value","formatted_date","text","top_angry","top_sadness","top_surprise","top_happiness","top_disgust"
"1_25_17",20,"surprise",0.130031964966667,2017-01-25,"can be resolved that will help them do their job better to keep the people of Chicago safer. And what he wants to do is provide the resources of the federal government and it can span a bunch of things. There&amp;#39;s no one thing it can be -- you know there can be aid, there can be if was requested up through the governor, through the proper channels, that the federal government can provide on a law enforcement basis. But there&amp;#39;s other aid that can be extended as well either through the U.S. Attorney&amp;#39;s Office or other means that will ensure that the people of Chicago have the resources to feel safe. That&amp;#39;s what he means Lynn. And part of it is that no American, whether or not you live in Chicago or Nebraska shouldn&amp;#39;t feel like you can walk down the streets of a city or the streets of a city in this country and fear for your life. And I think too often that&amp;#39;s happening in Chicago. The Press: What will happen next just so we know the time table? Mr. Spicer: I think next is we&amp;#39;ll get hopefully get a dialog started with Mayor Emanuel. Try to figure out what a path forward can be so that we get -- we come up with a plan that can keep",FALSE,FALSE,TRUE,FALSE,FALSE
"1_25_17",25,"surprise",0.166557720222222,2017-01-25,"voter ID law which went to the Supreme Court. He has long advocated other states following the Indiana example all states adopting voter ID. Mr. Spicer: Right. The Press: Is that something the President would get behind to achieve? Mr. Spicer: I think the President&amp;#39;s number one goal is to make sure that we -- I mean Georgia is another great example of a state that implemented a very successful voter ID program. And I think that&amp;#39;s what the President&amp;#39;s -- you know one of several things. But, lets -- the first step is for him to get this you know I don&amp;#39;t want to call it a task force yet because it&amp;#39;s not there yet. But this effort underway that can look at the scope of the problem and then John maybe make some recommendations. And maybe it is voter ID in states. But right now, we&amp;#39;ve got 50 states and the territories that all have various different ID&amp;#39;s and I know that there&amp;#39;s some compliance issues to make sure. But part of that is to figure out the extent of the problem. In some states, what it takes to get a driver&amp;#39;s",FALSE,FALSE,TRUE,FALSE,FALSE
"1_30_17",24,"disgust",0.0594388501632653,2017-01-30,"the next threat&amp;#39;s coming. You don&amp;#39;t know when the next attack&amp;#39;s coming. And so the best you can do is to get ahead of it. Because if you wait, you&amp;#39;re going to be reacting. And what I think I want to be clear on is the President&amp;#39;s not going to wait. He&amp;#39;s going to make sure he does everything in his power when he can to protect the homeland and his people. That&amp;#39;s it. And so getting ahead of threats is the key. Not waiting till they happen, not saying, &amp;quot;Hey, once it happens how do we react to make sure it doesn&amp;#39;t happen again?&amp;quot; I think what I want to be clear about is that since becoming President he&amp;#39;s continued to take steps through executive order and otherwise to make sure that this country is as safe as can be and that we&amp;#39;re ahead of every threat. The Press: In other words, it was not put in place on the timeline it was put in place and the procedures it was put in place because of specific intelligence that was suggesting something needed -- Mr. Spicer: No, no, no. No, no. I&amp;#39;m not saying that at all. The Press: Okay, I just wanted to make sure on that. Mr. Spicer: All I&amp;#39;m saying is that his view in general is not to wait to get ahead of the curve. Are -- his -- there wasn&amp;#39;t a specific threat that was saying, &amp;quot;You have to do this Saturday.",FALSE,FALSE,FALSE,FALSE,TRUE
"1_31_17",21,"disgust",0.0661496638666667,2017-01-31,"John Gizzi? The Press: Do you believe you can get nine democrats to support this nominee? Mr. Spicer: I do. Absolutely. Because I think at the end of the day one of the things that&amp;#39;s been a time honored tradition in this country is that we recognize that the confirmation process is -- if you&amp;#39;re -- the default is if you&amp;#39;re qualified for the position then you should be confirmed. Not the other way around. And I think that most democrats realize that at some point that is a -- having a court that is not fully operational is not the way to -- is not the political fight to have. John Gizzi. The Press: Sean, let me ask you the obvious follow up question then. At least one republican senator has said democrats have removed the filibuster from just about every other appointment aside from the Supreme Court. And he said several republicans say they would have no hesitation about moving for another nuclear option if democrats attempt a filibuster of any of the possible nominees. Is this something the President would support?",FALSE,FALSE,FALSE,FALSE,TRUE
"1_31_17",21,"surprise",0.131317882166667,2017-01-31,"John Gizzi? The Press: Do you believe you can get nine democrats to support this nominee? Mr. Spicer: I do. Absolutely. Because I think at the end of the day one of the things that&amp;#39;s been a time honored tradition in this country is that we recognize that the confirmation process is -- if you&amp;#39;re -- the default is if you&amp;#39;re qualified for the position then you should be confirmed. Not the other way around. And I think that most democrats realize that at some point that is a -- having a court that is not fully operational is not the way to -- is not the political fight to have. John Gizzi. The Press: Sean, let me ask you the obvious follow up question then. At least one republican senator has said democrats have removed the filibuster from just about every other appointment aside from the Supreme Court. And he said several republicans say they would have no hesitation about moving for another nuclear option if democrats attempt a filibuster of any of the possible nominees. Is this something the President would support?",FALSE,FALSE,TRUE,FALSE,FALSE
"1_31_17",21,"angry",0.266854362033333,2017-01-31,"John Gizzi? The Press: Do you believe you can get nine democrats to support this nominee? Mr. Spicer: I do. Absolutely. Because I think at the end of the day one of the things that&amp;#39;s been a time honored tradition in this country is that we recognize that the confirmation process is -- if you&amp;#39;re -- the default is if you&amp;#39;re qualified for the position then you should be confirmed. Not the other way around. And I think that most democrats realize that at some point that is a -- having a court that is not fully operational is not the way to -- is not the political fight to have. John Gizzi. The Press: Sean, let me ask you the obvious follow up question then. At least one republican senator has said democrats have removed the filibuster from just about every other appointment aside from the Supreme Court. And he said several republicans say they would have no hesitation about moving for another nuclear option if democrats attempt a filibuster of any of the possible nominees. Is this something the President would support?",TRUE,FALSE,FALSE,FALSE,FALSE
"1_31_17",37,"angry",0.292476150863636,2017-01-31,"I know you indicated at that podium there would be further action. What does this look like? And there are five detainees that have been cleared for transfer that are sitting at Guantanamo. Will this administration take action in the next coming months on those detainees? Mr. Spicer: I think all of those actions are being currently reviewed and we don&amp;#39;t have anything further at this time. Yeah? The Press: Hi, Evan (inaudible) with the Evening News. Thank you for taking the question. The Obama administration&amp;#39;s (inaudible) undergirds the Clean Power Plan. Does the President still plan to revoke the Clean Power Plan? And would he perhaps, even go further and try and revoke the endangerment finding? Mr. Spicer: Well, I think the President has made very clear with respect to energy policy that he wants to review all of the options that we have to use our natural resources to better the country in terms of wind, power, solar, clean coal -- we&amp;#39;re in the process of reviewing all of our energy policies. I&amp;#39;d go back to note that we don&amp;#39;t have an energy secretary confirmed right now because the Senate",TRUE,FALSE,FALSE,FALSE,FALSE
"1_31_17",38,"angry",0.38469649055814,2017-01-31,"hasn&amp;#39;t yet moved forward with that. I hope that once that&amp;#39;s done we will have further updates on energy. Matt? The Press: Sean, Sally yates was obviously an Obama appointee that was holding on through the transition. How many more of them are there throughout the government and at this time as the transition and confirmation process plays out? And do you expect any more problems from any of the other ones? Mr. Spicer: In some cases, we&amp;#39;ve held some individuals over because they hold a critical position within government. In some cases we&amp;#39;ve named folks as acting. It&amp;#39;s a case-by-case basis. And again, I think part of it right now is the President wanted to focus on getting his cabinet up and complete. We&amp;#39;ll continue to make nominations both at the deputy, under, assistant secretary level. But in key agencies, so ICE being one of them where it&amp;#39;s an assistant secretary. But there are 30 other agencies where we&amp;#39;ve named acting heads to ensure that as we move through the confirmation process we have somebody in that",TRUE,FALSE,FALSE,FALSE,FALSE
"1_31_17",39,"angry",0.28209388828,2017-01-31,"position to ensure continuity of government. Daniel? The Press: Sean, yesterday you said 109 individuals were affected by this extreme vetting. DHS officials said that it was over 1100. Mr. Spicer: No, no. Hold on. First of all, just to be clear what they&amp;#39;re talking about is the number of people who weren&amp;#39;t allowed to board a plane coming in. So they were stopped at their port of entry, had to get additional clearance, and then take off. There&amp;#39;s a big difference. The numbers that we&amp;#39;re talking about were the initial group of people that were in transit at the time the executive order was signed. And then there&amp;#39;s another group of people and the Department of Homeland Security has those numbers up to date on their website where they&amp;#39;re talking about people who were stopped at the port of entry to ensure that they&amp;#39;re properly vetted before they board a plane. Because there&amp;#39;s a very, very delicate distinction between people who were on the plane coming into this country when the executive order was signed, all of who&amp;#39;ve been vetted and cleared -- and the people who have been stopped at a port of entry in one of those seven countries to ensure that the proper",TRUE,FALSE,FALSE,FALSE,FALSE
"1_31_17",41,"disgust",0.05862302975,2017-01-31,"I think when you&amp;#39;re that late in a term it had never happened before. And the goal was to make sure that the voters had a say in allowing that to happen. And I think that clearly it worked. The voters looked at that as a major reason, which they voted for the President. And I think that as we move forward that&amp;#39;s why we&amp;#39;re going to get the support that we need. Yeah? The Press: Sean, Sean. If the President does get his pick on the bench, what are any specific cases that the administration hopes that the court takes up in the near future? Mr. Spicer: Well, there&amp;#39;s a lot of cases that I think are in the queue that have the potential to be 4-4. I think the idea is to get this individual confirmed as soon as possible just to get the docket moving. That&amp;#39;s probably the biggest priority right now. Thank you guys very much. Have a great day. I&amp;#39;ll see you tonight. Good luck, 8:00 p.m.",FALSE,FALSE,FALSE,FALSE,TRUE
