text,start,duration
Mr. Spicer: Hey guys.,1.368,2.802
I brought a guest.,4.17,1.769
(laughter),5.939,2.702
Good afternoon.,8.641,1.502
"First off at the top, I want to acknowledge that",10.143,3.27
there&amp;#39;s been an additional wave of threats to Jewish,13.413,2.936
community centers and Anti-Defamation League offices.,16.349,4.171
According to some reports there have been over 100,20.52,1.869
bomb threats phoned in to Jewish institutions,22.389,1.634
since the start of this year alone.,25.158,2.002
As the President said at the beginning of his joint,27.16,2.135
"address, &amp;quot;We&amp;#39;re a country that stands united in",29.295,2.87
condemning hate and evil in all of its forms.&amp;quot;,32.165,3.27
We denounce these latest anti-Semitic and hateful,35.435,2.536
threats in the strongest terms.,37.971,2.068
It is incredibly saddening that I have to continue to,40.039,2.303
share these disturbing reports with you and I,42.342,3.103
share the President&amp;#39;s thoughts that he fervently,45.445,2.135
hopes that we don&amp;#39;t continue to have to share,47.58,2.203
these reports with you.,49.783,1.968
But as long as they will -- as long as they do,51.751,1.935
"continue, we will continue to condemn them and look",53.686,3.237
at ways in which we can stop them.,56.923,2.569
"Now, onto news of the day.",59.492,2.036
You saw President Trump yesterday continue to,61.528,1.801
deliver on two of his most significant campaign,63.329,2.636
"promises, protecting the country against radical",65.965,2.603
Islamic terrorism and repealing and replacing,68.568,3.136
Obamacare with a patient-centric alternative.,71.704,4.038
We talked a lot about the Executive Order protecting,75.742,2.436
the nation from foreign terrorist entry into the,78.178,2.035
United States yesterday and so on to Obamacare.,80.213,3.537
I&amp;#39;d like to introduce the Secretary of Health and,83.75,3.37
"Human Services, Dr. Tom Price, to come up and talk",87.12,2.235
to you a little bit about the plan to repeal and,89.355,2.203
replace Obamacare.,91.558,1.001
Dr. Price.,92.559,0.767
"Secretary Price: Thank you, Sean.",93.326,3.804
Good afternoon.,97.13,0.667
First let me share with you what an honor it is to,97.797,2.803
serve as the Secretary of Health and Human Services.,100.6,2.302
I&amp;#39;m the third physician out of 23 individuals who,102.902,3.17
have had the privilege of serving as the Secretary,106.072,1.869
of Health and Human Services.,107.941,1.801
And the mission at our department is to improve,109.742,2.336
the health and safety and well-being of the American,112.078,2.336
"people and we take that mission very, very",114.414,2.669
seriously.,117.083,1.301
"And for many Americans right now, their ability",118.384,2.903
to gain healthcare or health coverage is a real,121.287,3.17
challenge.,124.457,1.368
"For most Americans, they receive their health",125.825,2.069
coverage through their employer.,127.894,1.501
It&amp;#39;s about 175 million folks.,129.395,1.969
Those individuals will see no significant change,131.364,2.503
other than there won&amp;#39;t be a penalty for not,133.867,2.168
purchasing coverage.,136.035,2.803
