text,start,duration
"Mr. Spicer: Welcome back, everyone.",0.567,1.468
Good to see you all after a few days -- for those of,2.035,2.402
you who didn&amp;#39;t get a chance to go down to Florida.,4.437,1.602
"This morning, in the Rose Garden, the President was",6.039,2.336
honored to host the swearing-in of Associate,8.375,3.803
Justice Neil Gorsuch.,12.178,2.236
His confirmation was the culmination of a,14.414,1.835
thoughtful and deliberative process that,16.249,2.369
the President started almost a year ago when he,18.618,3.103
released his initial list of potential nominees for,21.721,3.17
the Supreme Court.,24.891,1.468
"In September, he released a final, definitive list,",26.359,3.07
promising to select only from those individuals who,29.429,3.136
would continue the legacy of the great Justice,32.565,2.203
Scalia on the bench.,34.768,1.601
"And today, the President celebrated our new",36.369,2.236
associate justice who will protect our Constitution,38.605,3.103
for generations.,41.708,1.635
"It was definitely a great day to kick off the week,",43.343,3.036
and another productive week that we will see,46.379,2.136
here at the White House.,48.515,1.301
"Before I get into the upcoming week, just a",49.816,2.803
couple updates from over the weekend.,52.619,2.102
"First, the President spoke with Prime Minister Lofven",54.721,2.903
of Sweden to express our condolences for the loved,57.624,3.069
ones who were killed in Friday&amp;#39;s terrorist attack,60.693,2.503
"in central Stockholm, Sweden, and to wish a",63.196,2.569
speedy recovery for those who were wounded.,65.765,2.569
The President also called President Sisi yesterday,68.334,2.87
to convey his deepest condolences to Egypt and,71.204,2.736
the families who lost loved ones in the heinous,73.94,2.336
attack that occurred there.,76.276,1.535
Dozens of innocent people were killed and many more,77.811,2.235
were injured on holy Palm Sunday.,80.046,2.269
The United States condemns in the strongest terms,82.315,3.77
these barbaric attacks on Christian places of,86.085,2.77
worship in Tanta and in Alexandria.,88.855,3.036
The President also spoke with the King of Saudi,91.891,2.603
"Arabia, the Prime Minister of Japan, the Acting",94.494,2.936
"President of South Korea, all about the United",97.43,2.569
States&amp;#39; military strike on the airfield in Syria.,99.999,4.171
All of the leaders expressed support for the,104.17,1.869
United States&amp;#39; necessary action in response to the,106.039,3.87
horrible chemical and bomb attack on,109.909,3.003
innocent civilians.,112.912,1.535
"And yesterday, he spoke with Commander Andria",114.447,2.736
"Slough, the commanding officer of the USS Porter,",117.183,4.204
"and Commander Russell Caldwell, the commanding",121.387,2.336
"officer of the USS Ross, to thank them and their",123.723,2.87
teams for successfully carrying out that strike.,126.593,3.47
"During these calls, the President communicated",130.063,1.902
that he could not be more proud of the crews of,131.965,2.235
these two ships and their flawless execution,134.2,3.07
of these operations.,137.27,1.535
"As you know, these ships, between the two of them,",138.805,4.004
sent 59 Tomahawk missiles and each of them hit all,142.809,3.27
"of their targets, showing America&amp;#39;s power and the",146.079,2.702
"military&amp;#39;s accuracy, which is just a small",148.781,3.604
representation of our military&amp;#39;s overall,152.385,2.569
capability and a fraction of what this President,154.954,3.003
will continue to build up the military to be,157.957,2.303
throughout his administration.,160.26,1.968
The sight of people being gassed and blown away by,162.228,3.504
barrel bombs ensures that if we see this kind of,165.732,3.403
"action again, we hold open the possibility",169.135,2.97
of future action.,172.105,0.834
The resulting action of what happened ensured that,172.939,5.005
their fueling operation is gone from this air,180.513,2.002
"facility, 20 percent of their fixed-wing aircraft",182.515,3.27
"were destroyed and knocked out, and I think by all",185.785,2.503
"measures, the world and domestic reaction was",188.288,3.536
highly laudable for the President&amp;#39;s action.,191.824,4.739
"Additionally, obviously, we&amp;#39;re all aware that the",196.563,1.735
President had a very successful visit with the,198.298,2.402
"Chinese President, and it concluded on Friday.",200.7,3.27
"As you&amp;#39;ve read, one of the most significant",203.97,1.435
developments from these discussions was the,205.405,1.601
agreement to create a 100-day initial plan --,207.006,3.971
hopefully with some tangible near-term,210.977,1.368
deliverables -- to lead to a more balanced economic,212.345,2.736
relationship between our two countries.,215.081,3.003
"As that develops, we&amp;#39;ll make sure that we provide",218.084,2.669
you with additional details.,220.753,1.702
"And this morning, the President was glad to see",222.455,1.535
Toyota announce that it will be spending $1.33,223.99,2.803
billion in its Kentucky plant as part of its plan,226.793,3.47
to invest $10 billion in America over the next five,230.263,3.07
"years, a continued signal of the confidence that",233.333,3.536
businesses have in the American economy under,236.869,2.436
President Trump.,239.305,1.302
"Now, in terms of the week ahead.",240.607,1.735
"Tomorrow, the President will have a discussion on",242.342,1.668
strategy and policy with several members of his,244.01,2.336
Cabinet and a group of CEOs.,246.346,2.135
This is a follow-up from his meeting with 20 CEOs,248.481,2.736
from the Strategic and Policy Forum just this,251.217,2.97
"past February, with some of the same business",254.187,1.802
leaders and some new ones.,255.989,1.868
"First, they&amp;#39;ll meet in small interactive groups,",257.857,2.469
"each led by a Cabinet member, to discuss the",260.326,2.603
priorities for those Cabinet Secretaries and,262.929,2.335
their agencies.,265.264,1.135
The President will then oversee a report that will,266.399,2.736
"be presented to the group -- by the group, rather.",269.135,2.87
The Cabinet-level participants will be,272.005,1.434
"Secretary of Commerce Ross, Secretary of",273.439,1.869
"Education DeVos, EPA Administrator Pruitt, OMB",275.308,5.672
"Director Mulvaney, and Secretary of",280.98,2.569
Transportation Elaine Chao.,283.549,1.235
We&amp;#39;ll have the full list of additional participants,285.318,2.402
for you later.,287.72,1.535
As part of the effort to deescalate the conflict in,289.255,2.536
Syria and press for a political process that can,291.791,2.903
resolve the conflict and eventually result in a,294.694,2.369
"transition of a new, legitimate Syrian",297.063,2.369
"leadership, U.S.* [U.N.] Special Envoy for Syria",299.432,3.17
will be coming to Washington tomorrow for,302.602,1.401
consultations with the State Department and with,304.003,2.403
National Security Advisor McMaster here at the White,306.406,2.702
"House, among others.",309.108,1.735
He has been overseeing the political talks among,310.843,2.57
Syrian parties in Geneva.,313.413,1.868
"On Wednesday, we will welcome the Secretary",315.281,2.536
"General of NATO, Jens Stoltenberg, to the White House.",317.817,3.036
The President and Secretary General will,320.853,1.836
have a joint press conference later,322.689,1.368
in the afternoon.,324.057,1.167
And then the President plans to spend the Easter,325.224,2.102
"holiday in Florida, and he&amp;#39;ll return to the",327.326,1.702
White House on Sunday.,329.028,2.269
"As the President noted today, as we hit day 81 in",331.297,4.037
"the President&amp;#39;s administration, we have",335.334,3.904
"done so many great things, including nominate and",339.238,5.139
confirm a Supreme Court justice; roll back more,344.377,3.17
regulations than any President in modern times;,347.547,2.636
"roll back the Obama-era war on coal, oil and",350.183,2.402
natural gas; restore confidence in the economy.,352.585,3.237
"We&amp;#39;re now seeing historic levels of consumer, CEO,",355.822,2.569
"homebuilder, manufacture confidence.",358.391,2.769
There&amp;#39;s been a 12 percent gain in the stock market.,361.16,2.77
We&amp;#39;ve even seen a real resurgence in,363.93,2.502
the mining industry.,366.432,1.302
We&amp;#39;ve reduced illegal boarding* [border],367.734,1.368
crossings by over 60 percent to the lowest,369.102,2.202
"level in nearly two decades, and implemented",371.304,2.436
"historic ethics reforms, including a five-year",373.74,2.135
lobbying ban and a lifetime foreign ban.,375.875,3.27
"So with that, I&amp;#39;d be glad to take your questions.",379.145,2.235
The Press: Why is it okay to bomb Syria but not okay,381.38,4.505
to assist the refugees?,385.885,1.134
One.,387.019,1.102
"And number two, what is the reaction -- this",388.121,0.867
administration&amp;#39;s reaction to Russia saying we are,388.988,3.403
running a danger of a real war within the Middle East?,392.391,3.738
"Mr. Spicer: Well, with respect to number one, the",396.129,3.069
reason that we took action was multifold -- number,399.198,2.703
"one, to stop the proliferation and",401.901,1.668
deterrence of chemical weapons.,403.569,1.735
When you see mass weapons of destruction being used,405.304,4.238
"it should be a concern to every nation,",409.542,1.902
especially our own people.,411.444,1.101
The proliferation of those weapons pose a grave,412.545,7.107
threat to our national security.,419.652,1.869
"So, number one, we have to stop that.",421.521,1.835
"Number two, we have to stop ISIS.",423.356,1.935
"But with respect to the people of Syria, by us",425.291,3.937
taking action and deescalating what&amp;#39;s going,429.228,3.637
"on in Syria, that&amp;#39;s the greatest thing you can do",432.865,2.836
to support those people.,435.701,1.702
"Deescalating the conflict there, containing ISIS is",437.403,3.27
the greatest aspect of humanitarian relief that,440.673,2.669
"we can provide, first and foremost.",443.342,1.769
"Secondly, creating areas in which we can work with",445.111,4.504
"allies, including Russia, in committing to ensuring",449.615,2.937
that there are places that are free from violence and,452.552,3.27
are places free for people to gather safely is another.,455.822,3.57
Because I think everyone would agree that the last,459.392,3.103
thing people want to do there is leave.,462.495,1.535
They want to stay there.,464.03,0.834
They want to be in Syria.,464.864,1.368
They want to have a safe place to remain with their,466.232,3.103
families and not be separated.,469.335,1.602
"So our number-one priority is to defeat ISIS, but",470.937,2.702
"we&amp;#39;re also, I think from a humanitarian standpoint",473.639,2.736
"and a refugee standpoint, ensuring that we create an",476.375,2.703
environment that provides a safe place for them,479.078,4.471
to ultimately remain.,483.549,2.536
"And then on Russia, in particular, look, I think",486.085,2.069
that if you look at the countries that are with,488.154,3.57
"us, it speaks pretty loudly the number of",491.724,3.036
countries that have stood shoulder-to-shoulder,494.76,2.169
with this President.,496.929,1.302
"Russia, on the other hand, stands with Syria,",498.231,2.636
North Korea and Iran.,500.867,2.035
I think when you contrast the two groups of country,502.902,3.27
"sets, it&amp;#39;s pretty clear that we&amp;#39;re on the right",506.172,3.036
side of this issue.,509.208,0.968
The Press: Right.,510.176,1.334
So does that mean we&amp;#39;re going to commit troops?,511.51,0.935
"I mean, there&amp;#39;s talking about a war.",512.445,1.101
"Mr. Spicer: No, no, what it means is that I think",513.546,2.336
the action that we took last week has been widely,515.882,3.803
"praised, domestically and internationally, as a",519.685,3.27
great step to ensure the deterrence and,522.955,1.802
proliferation of chemical weapons and of action,524.757,2.569
