text,start,duration
"Mr. Spicer: Good afternoon, everyone.",5.605,1.535
"There&amp;#39;s a lot going on today, so I&amp;#39;m going to",7.14,2.069
keep this on the briefer side.,9.209,2.702
"This morning, the President announced the",11.911,1.335
official approval of the presidential permit for,13.246,1.869
the Keystone XL pipeline.,15.115,2.769
The last administration spent eight years delaying,17.884,2.169
this enormous investment in American,20.053,1.702
energy independence.,21.755,1.534
President Trump is moving this project forward in,23.289,2.269
just eight weeks.,25.558,1.735
"And just as he promised, it&amp;#39;s an even better deal",27.293,2.403
for the American people than before he,29.696,2.102
took office.,31.798,1.234
This project will directly generate an estimated,33.032,4.038
"16,100 jobs, according to the State Department --",37.07,4.037
all without spending a dime of taxpayer money.,41.107,2.336
"In many ways, this project represented everything",43.443,2.102
that was wrong with the infrastructure permitting,45.545,1.969
of the United States.,47.514,1.601
TransCanada spent an incredible amount of,49.115,1.869
resources attempting to comply with government,50.984,2.235
"regulations, only to be denied and delayed for",53.219,3.237
political reasons.,56.456,1.802
But the days of pointless government bureaucracy,58.258,2.602
holding up progress and production have ended.,60.86,2.703
"By simply getting excessive, duplicative",63.563,2.202
"regulations out of the way, we can make",65.765,2.169
infrastructure projects more attractive -- a more,67.934,3.237
"attractive prospect for private investors, and",71.171,2.502
encourage even more projects like this one.,73.673,2.703
Immediately following the announcement by,76.376,2.069
"TransCanada, the President announced that Charter",78.445,2.635
Communications has committed to investing $25,81.08,3.471
billion here in the United States and hiring an,84.551,3.336
"additional 20,000 American workers over the",87.887,2.97
next four years.,90.857,1.501
Charter Communications is truly an example of how,92.358,2.336
American leadership can turn a downturn entity,94.694,2.936
into an amazing success.,97.63,3.17
"Five years ago, Charter Communications was a",100.8,2.002
struggling company that had slowly emerged,102.802,2.403
from bankruptcy.,105.205,1.268
"Today, thanks to hard work and great leadership of",106.473,2.569
"Chairman and CEO Tom Rutledge, it is the",109.042,2.969
"fastest-growing television, Internet,",112.011,1.735
and voice company in the nation.,113.746,1.836
"And, most importantly, as Charter grew, American",115.582,2.302
"jobs grew, as they brought back many jobs that had",117.884,2.836
previously been shipped overseas.,120.72,2.236
"Today, Charter is also committed to completely",122.956,2.068
"ending its offshore call centers, basing 100",125.024,2.636
percent of them in the United States.,127.66,2.269
"Together, the TransCanada and Charter Communications",129.929,2.87
announcement demonstrate the new economic model of,132.799,2.869
what the President called The American Model.,135.668,2.903
By slashing job-killing regulations and reducing,138.571,2.269
"government burdens and lowering taxes, we will",140.84,2.503
make it easier for all businesses to grow right,143.343,2.102
"here at home, generating jobs and boosting our",145.445,2.502
economy by getting government out of the way.,147.947,3.103
"Following these big announcements, the",151.05,1.335
President had lunch with Secretary of the,152.385,1.802
Treasury Steve Mnuchin.,154.187,1.268
He was joined by Speaker Paul Ryan -- I&amp;#39;ll get to,155.455,3.003
in a second on that.,158.458,1.435
"Later in the afternoon, the President will host a",159.893,1.801
Greek Independence Day celebration.,161.694,2.102
"And as I mentioned yesterday, at 4 o&amp;#39;clock he",163.796,2.47
will meet with about two dozen Medal of Honor,166.266,1.601
"recipients to honor Medal of Honor Day, which is",167.867,4.571
technically tomorrow.,172.438,1.435
He&amp;#39;s honored to be hosting these great men and women,173.873,2.503
"of our Armed Services, the greatest force for peace",176.376,2.502
and justice the world has ever known.,178.878,2.236
"And obviously, later today, the House will be",181.114,2.702
voting on the American Health Care Act.,183.816,1.702
The current vote is scheduled for 3:30 p.m.,185.518,3.103
The President has been working the phones and,188.621,1.669
having in-person meetings since the American Health,190.29,2.535
Care Act was introduced.,192.825,1.569
He&amp;#39;s left everything on the field when it comes,194.394,1.635
to this bill.,196.029,1.034
The President and congressional Republicans,197.063,1.802
promised the American people that they would,198.865,1.568
repeal and replace this broken system.,200.433,2.402
"Obamacare&amp;#39;s Washington-driven,",202.835,1.635
one-size-fits-all plan had seven years to prove its,204.47,3.337
"case, and look what it&amp;#39;s left us with: Skyrocketing",207.807,2.97
"premiums -- on average, premiums for Obamacare",210.777,3.036
benchmark plans increased 25 percent in 2017.,213.813,4.338
Unaffordable deductibles -- the two most popular,218.151,3.136
Obamacare health plans have average deductibles,221.287,2.67
equivalent to 10 percent and 6 percent of the,223.957,2.535
median American household income.,226.492,2.303
"With these high deductibles, many people",228.795,1.535
"have, technically, insurance, but nothing",230.33,2.402
that they can afford to use.,232.732,1.902
Fewer choices -- one in five Americans have only,234.634,2.369
one insurer offering,237.003,1.234
Obamacare through exchanges.,238.237,2.937
"And, of course, higher taxes.",241.174,2.469
Key conservative groups like the Tea Party Express,243.643,2.302
and the American Conservative Union have,245.945,1.969
added themselves to a long list of organizations,247.914,2.235
expressing their support for the American Health,250.149,1.735
"Care Act because they know it&amp;#39;s our chance, after the",251.884,2.47
"American people have spent years suffering, to",254.354,1.534
finally repeal and replace the nightmare,255.888,2.136
of Obamacare.,258.024,1.234
The President looks forward to seeing the,259.258,1.535
House Republicans join with these influential,260.793,1.936
voices and vote in favor of the,262.729,2.002
American Health Care Act.,264.731,2.602
"The President, as I mentioned, had Speaker",267.333,2.169
Ryan come up here and visit with him to update,269.502,1.902
him on the bill.,271.404,2.069
They are continuing to,273.473,0.867
discuss the way forward on this.,274.34,2.236
The Speaker is updating him on his efforts.,276.576,2.135
"As I mentioned to you, the President has been working",278.711,2.503
"throughout the week on this, calling early --",281.214,2.869
starting early in the morning and working till,284.083,1.535
"late at night, calling with members,",285.618,1.802
visiting members.,287.42,0.701
"By our count, over 120 members have personally",288.121,3.27
"had a visit, call, or meeting here at the White",291.391,3.503
House in the past few days.,294.894,2.369
This is an extraordinary feat.,297.263,2.336
The President and his team have committed everything,299.599,1.868
they can to making this thing happen.,301.467,2.536
And the Speaker is going to continue to update him,304.003,2.069
on the way forward.,306.072,3.604
"Finally, a few administrative",309.676,1.101
notes here at the end.,310.777,0.967
"Yesterday, senior-level United States and Israeli",311.744,2.236
delegations concluded four days of intensive talks,313.98,4.004
"with a particular focus on concrete, near-term",317.984,2.169
measures to improve the overall climate in order,320.153,2.536
to advance the prospects of a genuine and lasting,322.689,3.103
peace between Israel and Palestine.,325.792,2.869
The United States delegation was led by,328.661,1.568
"Jason Greenblatt, Special Representative for",330.229,1.936
"International Negotiation, and included",332.165,2.269
representatives of the NSC and the,334.434,1.701
Department of State.,336.135,1.402
A principal focus of the discussion was specific,337.537,2.102
measures that could have a meaningful impact on the,339.639,2.502
"economic environment in the West Bank and Gaza,",342.141,2.803
allowing the Palestinians to more fully realize,344.944,2.202
their economic potential.,347.146,1.735
The two delegations also discussed Israeli,348.881,2.87
settlement construction.,351.751,1.702
The fact that both governments dedicated such,353.453,1.801
senior delegations for so many days reflects the,355.254,3.604
close cooperation between these countries and the,358.858,2.169
importance that both assign to this vital task.,361.027,3.67
"Last night, the President announced his intention to",364.697,2.036
nominate several key additional people to the,366.733,2.635
"administration, including Althea Coat-zee to be",369.368,2.536
Deputy Administrator of the Small Business,371.904,3.871
Administration; William Francis Hagerty IV to be,375.775,2.936
ambassador to Japan; Robert Sumwalt III to be a,378.711,3.67
member of the National Transportation Safety Board.,382.381,3.07
"And also this morning, of note, the United States",385.451,3.837
District Court for the Eastern District of,389.288,1.535
Virginia upheld the President&amp;#39;s revised,390.823,2.069
executive order protecting the nation from foreign,392.892,2.436
people who seek to do us harm into,397.396,1.402
the United States.,398.798,1.301
"We&amp;#39;re pleased with this ruling, which found the",400.099,1.835
plaintiffs have no likelihood of success on,401.934,2.069
the merits of their claims.,404.003,1.602
"As the court correctly notes in its opinion, the",405.605,1.902
President&amp;#39;s order falls well within his legal,407.507,1.968
authority to protect the nation&amp;#39;s security.,409.475,2.269
We&amp;#39;re confident the President&amp;#39;s fully lawful,411.744,3.003
and necessary action will ultimately be allowed to,414.747,2.803
move forward through the rest of the system,417.55,1.768
-- court system.,419.318,1.035
"In terms of the schedule for this weekend, the",420.353,1.334
President will spend a working weekend here in,421.687,1.769
"Washington, and we&amp;#39;ll update you with further",423.456,2.402
details regarding his schedule.,425.858,1.302
"With that, I&amp;#39;ll get to your questions.",427.16,1.968
Steve.,429.128,0.668
"The Press Sean, is it your understanding that you",429.796,2.235
don&amp;#39;t have the votes to pass the,432.031,2.369
healthcare legislation?,434.4,1.068
Is that the message that Speaker Ryan delivered today?,435.468,2.936
"And if so, what lessons do you draw",438.404,1.802
from this process?,440.206,0.767
"Mr. Spicer: Well, I think the Speaker is currently",440.973,2.403
having a conversation with him to talk about where,443.376,1.835
that vote count stands.,445.211,2.002
He&amp;#39;s working with the members of -- you know,447.213,1.802
the President made a sell.,449.015,1.134
They had the Tuesday Group here.,450.149,1.535
There were 17 members here; 16 walked,451.684,1.869
out as a &amp;quot;yes.&amp;quot;,453.553,0.7
I think we&amp;#39;ve had a group of members that we&amp;#39;ve,454.253,4.238
continued to have a conversation with and try,458.491,2.669
"to make -- frankly, at this point, it&amp;#39;s not a",461.16,2.803
question of negotiating anymore.,463.963,1.335
