text,start,duration
Mr. Spicer: Good afternoon.,0,0.834
"I hope everyone had a great weekend, seriously.",0.834,2.669
"It&amp;#39;s Monday, so I brought a special guest.",3.503,4.671
"First, I&amp;#39;d like to have the Attorney General come",8.174,4.705
up to the podium to make an announcement regarding,12.879,1.702
immigration enforcement with respect,14.581,2.068
to sanctuary cities.,16.649,1.435
"When the Attorney General is done speaking, we&amp;#39;ll",18.084,1.802
have time for a couple questions and then I&amp;#39;ll,19.886,2.97
continue with the briefing.,22.856,1.234
So if your question is not germane to sanctuary,24.09,2.736
"cities, keep your hand down and we&amp;#39;ll get to it",26.826,2.57
after we go through the events of the day.,29.396,3.003
"So, with that, Attorney General Sessions, come on up.",32.399,1.768
"Attorney General Sessions: Thank you, Sean.",34.167,2.169
The Department of Justice has a view to enforce our,42.742,2.469
"nation&amp;#39;s laws, including our immigration laws.",45.645,3.67
Those laws require us to promptly remove aliens,49.315,2.937
when they are convicted or detained of certain crimes.,52.252,3.603
The vast majority of American people support,55.855,3.237
this commonsense requirement.,59.092,2.402
"According to one recent poll, 80 percent of",61.494,2.803
Americans believe that cities that arrest illegal,64.297,5.205
immigrants for crimes should be required to turn,69.502,2.937
them over to immigration authorities.,72.439,2.702
"Unfortunately, some states and cities have adopted",75.141,3.103
policies designed to frustrate this enforcement,78.244,3.204
of immigration laws.,81.448,1.935
This includes refusing to detain known felons on the,83.383,3.937
"federal detainer request, or otherwise failing to",87.32,3.237
comply with these laws.,90.557,2.535
"For example, the Department of Homeland",93.092,1.769
Security recently issued a report showing that in a,94.861,3.704
"single week, there were more than 200 instances of",98.565,4.804
jurisdictions refusing to honor ICE detainer,103.369,3.204
requests with respect to individuals charged,106.573,3.303
or convicted of a serious crime.,109.876,2.669
The charges and convictions against these,112.545,2.536
"aliens included drug-trafficking,",115.081,3.47
"hit-and-run, rape, sex offenses against a child,",118.551,3.304
and even murder.,121.855,1.434
Such policies cannot continue.,123.289,3.204
They make our nation less safe by putting dangerous,126.493,3.269
criminals back on the streets.,129.762,2.47
"We all remember the tragic case of Kate Steinle, the",132.232,3.803
32-year-old woman who was shot and killed two years,136.035,3.27
ago in San Francisco as she walked along a pier,139.305,3.437
with her father.,142.742,1.301
"The shooter, Francisco Sanchez, was an illegal",144.043,3.103
immigrant who had already been deported five times,147.146,3.804
and had seven felony convictions.,150.95,3.003
"Just 11 weeks before the shooting, San Francisco",153.953,3.971
"had released Sanchez from its custody, even though",157.924,4.404
Immigration and Customs Enforcement officers had,162.328,3.17
filed a detainer requesting that he be held,165.498,3.937
in custody until immigration authorities,169.435,2.703
could pick him up for removal.,172.138,2.603
"Even worse, Sanchez admitted the only reason",174.741,2.302
he came to San Francisco was because it was,177.043,3.136
a sanctuary city.,180.179,1.869
"A similar story unfolded just last week, when Ever",182.048,3.103
"Valles, an illegal immigrant and a Mexican",185.151,3.337
national was charged with murder and robbery of,188.488,4.037
a man at a light rail station.,192.525,2.569
Valles was released from a Denver jail in late,195.094,2.903
"December, despite the fact that ICE has lodged a",197.997,3.504
detainer for his removal.,201.501,2.536
The American people are not happy with these results.,204.037,3.603
They know that when cities and states refuse to help,207.64,3.304
"enforce immigration laws, our nation is less safe.",210.944,4.437
Failure to deport aliens who are convicted of,215.381,2.903
"criminal offenses puts whole communities at risk,",218.284,3.871
especially immigrant communities in the very,222.155,2.536
sanctuary jurisdictions that seek to protect,224.691,4.471
the perpetrators.,229.162,1.067
"DUIs, assaults, burglaries, drug crimes,",230.229,3.137
"gang rapes, crimes against children, and murderers --",233.366,4.538
countless Americans would be alive today and,237.904,2.502
countless loved ones would not be grieving today if,240.406,3.47
these policies of sanctuary cities were ended.,243.876,3.971
Not only do these policies endanger lives of every,247.847,3.17
"American -- just last May, the Department of Justice",251.017,3.837
inspector general found that these policies also,254.854,3.57
violate federal law.,258.424,2.069
"The President has rightly said, disregard for",260.493,3.871
the law must end.,264.364,2.469
"In his executive order, he stated that it is the",266.833,3.103
policy of the executive branch to ensure that,269.936,3.704
"states and cities comply with all federal laws,",273.64,3.803
including all immigration laws.,277.443,3.137
"Today, I&amp;#39;m urging states and local jurisdictions to",280.58,5.172
