text,start,duration
"Mr. Spicer: Hi, guys.",0.9,2.67
The hearing is still -- Judge Gorsuch&amp;#39;s hearing is,3.57,2.402
"ongoing, and considering the significant attention,",5.972,3.67
I&amp;#39;m going to try to keep this a little on the,9.642,1.902
shorter side today.,11.544,2.97
The President is making a full day of progress,14.514,2.135
towards some of his biggest promises that he&amp;#39;s,16.649,1.702
made to the American people.,18.351,1.668
This morning he met with the House Republican,20.019,1.635
"Conference members on Capitol Hill, ahead of the",21.654,2.336
House&amp;#39;s scheduled vote on the American Health Care,23.99,1.935
"Act, which is currently scheduled for Thursday.",25.925,3.237
"During the meeting, the President reminded members",29.162,2.603
of the House Conference that repealing and,31.765,1.434
replacing Obamacare has been a promise that,33.199,2.436
Republicans have been,35.635,0.701
making to voters for years.,36.336,1.768
Members have made it clear that if voters put a,38.104,3.203
Republican in the White House and continue,41.307,2.336
Republican majorities in the House and the Senate,43.643,2.369
that we would repeal and replace this,46.012,2.469
ill-advised legislation.,48.481,2.77
And for every member who pledged to the American,51.251,1.768
"people that they would deliver on this promise,",53.019,2.336
this is really their chance.,55.355,1.935
This is the repeal of Obamacare that Republicans,57.29,3.137
"have been working on for years, and voters have",60.427,2.302
been waiting for this for some time.,62.729,2.002
"On Thursday, as the House gathers on the floor and",64.731,1.968
"casts their votes for the ACH, it will be exactly",66.699,2.937
seven years after President Obama had signed,69.636,2.969
Obamacare into law.,72.605,1.602
We&amp;#39;re hoping to make this the last anniversary,74.207,2.035
Americans will have to endure Obamacare.,76.242,2.503
Republicans have been working to repeal and,78.745,1.835
replace this misguided law ever since.,80.58,2.336
"And now, under President Trump, we will finally be",82.916,2.168
able to take this step towards fundamental reform,85.084,3.07
of our healthcare system.,88.154,1.535
I think most Americans remember the lines that,89.689,1.969
were used to sell Obamacare seven years ago:,91.658,2.636
"&amp;quot;If you like your doctor, you can keep your doctor.&amp;quot;",94.294,2.169
"&amp;quot;If you like your healthcare plan, you&amp;#39;ll be",96.463,1.701
able to keep your healthcare plan.&amp;quot;,98.164,1.335
"But for millions of Americans, those lines",99.499,2.803
proved to be nothing more than empty promises.,102.302,2.936
Plans that their families had relied on for years,105.238,2.236
were suddenly cancelled.,107.474,1.568
"Premiums and deductibles skyrocketed, leaving many",109.042,3.236
who had plans unable to actually use them.,112.278,2.67
