text,start,duration
Mr. Spicer: Happy Friday.,0,3.503
Good to see you all.,3.503,4.404
Good afternoon.,7.907,1.836
Two more days until the work week is over --,9.743,3.069
(laughter),12.812,1.135
-- full attribution to Rahm,13.947,1.568
Emanuel for that one.,15.515,1.034
"As many of you know, today is day 50 of President",16.549,3.804
Trump&amp;#39;s administration.,20.353,0.701
We have a lot to talk about and a lot,21.054,2.035
that&amp;#39;s gotten done.,23.089,0.768
I also want to acknowledge that today is also Brian&amp;#39;s,23.857,2.636
"birthday, so happy birthday to Brian.",26.493,2.402
I&amp;#39;ll let you guys celebrate amongst,28.895,1.335
yourselves afterwards.,30.23,0.734
"In just these first 50 days, the President has",30.964,3.57
taken many key steps towards delivering on the,34.534,2.202
pledges he made to the American people,36.736,1.468
as a candidate.,38.204,1.368
He has jumpstarted job creation not only because,39.572,2.069
"of his executive actions, but through the surge of",41.641,2.569
economic confidence and optimism that has been,44.21,2.203
inspired since his election.,46.413,2.235
President Trump knows exactly what businesses,48.648,1.702
"need to thrive and grow, therefore adding",50.35,2.335
well-paying and steady jobs to the market.,52.685,2.737
"Obviously, we&amp;#39;re very pleased to see the jobs",55.422,1.901
report that came out this morning.,57.323,1.702
It&amp;#39;s great news for American workers.,59.025,2.269
During the first full month of the Trump,61.294,1.735
"presidency, the economy added 235,000 new jobs and",63.029,5.472
the unemployment rate ticked down to,68.501,2.102
4.7 percent.,70.603,1.936
"Notably, we also saw significant growth in the",72.539,2.135
"construction, manufacturing",74.674,2.202
and mining sectors.,76.876,1.769
The unemployment rate ticked down and labor,78.645,2.369
"force participation rate ticked up, showing that",81.014,3.17
even as more people are reentering the job market,84.184,2.802
due to the economic optimism that I spoke,86.986,1.936
"about, businesses are continuing to grow and",88.922,2.836
create new jobs.,91.758,1.635
The President looks forward to continuing his,93.393,1.768
work with the private sector to clear roadblocks,95.161,2.703
"to key infrastructure projects, withdraw from",97.864,2.636
job-killing trade deals like the Trans-Pacific,100.5,2.069
"Partnership, and slash the bureaucratic red tape that",102.569,3.27
makes additional hiring difficult for,105.839,2.268
American businesses.,108.107,1.502
He has taken action to ensure the safety and,109.609,2.035
"security of the United States homeland, its",111.644,2.736
borders and its people.,114.38,2.436
He has proposed great rebuilding of our nation&amp;#39;s,116.816,2.436
"military, following a full review of our military",119.252,2.836
readiness and supported by a $54 billion,122.088,2.87
budget increase.,124.958,1.768
He&amp;#39;s implemented new protections to prevent,126.726,1.969
people from coming into our country that,128.695,1.835
seek to do us harm.,130.53,1.568
As a result of the presidential memorandum,132.098,2.035
"that he signed on January 28th, the President has",134.133,2.47
"received a plan to defeat ISIS, designed by the",136.603,3.136
Secretary of Defense and the national,139.739,2.402
security team.,142.141,1.268
"Just as he has promised during the campaign, he",143.409,2.503
has made enforcing our nation&amp;#39;s immigration laws,145.912,2.803
"a top priority, signing executive orders that",148.715,2.969
"start work on a Southern border wall, that enhance",151.684,3.37
the public safety of Americans through ordering,155.054,2.636
the strong enforcement of immigration laws that are,157.69,2.269
"already on the books, halting funding to",159.959,2.436
jurisdictions in the United States that don&amp;#39;t,162.395,2.302
"comply with federal immigration rules, and",164.697,2.636
directing the Department of Homeland Security to,167.333,2.036
"hire a combined 15,000 new officers and agents to",169.369,4.337
support the system and protect the nation.,173.706,2.57
He&amp;#39;s outlined an aggressive legislative,176.276,1.601
agenda that includes tax reform that brings relief,177.877,2.87
"to small business and the middle class, a massive",180.747,2.936
commitment to infrastructure investment,183.683,2.102
"that will generate jobs and rebuild our nation,",185.785,2.87
and repealing and replacing Obamacare.,188.655,2.535
"In fact, just this week, he began working with",191.19,1.802
Congress directly on repealing the worst parts,192.992,2.536
of Obamacare and replacing it with the American,195.528,2.836
Health Care Act.,198.364,1.502
And this particular legislation is just one,199.866,1.935
prong in the President&amp;#39;s comprehensive approach to,201.801,2.603
reforming our healthcare system.,204.404,1.968
The administration is also taking additional steps to,206.372,3.637
stabilize health insurance markets and start bringing,210.009,2.703
down costs for the millions of Americans that,212.712,2.035
"have been affected by Obamacare, such as",214.747,2.336
stabilizing insurance markets through regulatory,217.083,2.236
"reform, including the ability to purchase",219.319,2.402
"insurance across state lines, providing",221.721,2.536
individuals and families with lower access -- with,224.257,2.736
access to lower-cost options by loosening the,226.993,3.036
restrictions on the financial structure of,230.029,1.936
plans offered through the Obamacare exchanges.,231.965,3.236
"And finally, the President is committed to working",235.201,1.769
with Congress on additional legislation,236.97,2.602
that won&amp;#39;t be subject to the budget reconciliation,239.572,2.202
"process, that will allow the purchase of health",241.774,2.57
insurance across state lines; that will,244.344,2.168
streamline the process of the FDA to bring down the,246.512,3.204
