text,start,duration
"Matt, you had a phenomenal story today.",0.633,1.869
(Laughter.),2.502,4.938
Get that joke?,7.44,1.268
"If you didn&amp;#39;t, look it up.",8.708,3.671
A little delayed reaction to that.,12.379,2.002
(Laughter.),14.381,0.967
"Before I get into the events of today,",15.348,1.035
"there&amp;#39;s a few items I wanted to update you on,",16.383,2.268
things that have happened since our last briefing yesterday.,18.651,3.104
The President spoke with Prime Minister al-Abadi,21.755,1.901
of Iraq to thank him for his productive visit,23.656,2.636
and meeting on March 20th.,26.292,2.103
A readout of that call should have been issued,28.395,1.835
after the pool last night.,30.23,1.935
"Yesterday, he also notified Congress that",32.165,2.402
the national emergency declared Executive Order,34.567,2.236
13694 regarding malicious cyber-enabled attacks,36.803,5.839
"will continue beyond April 1st, 2017.",42.642,2.836
"As you all know, this notification is required",45.478,2.069
by statute in order to extend the national,47.547,2.536
emergency that the past administration declared.,50.083,2.803
The President believes that the significant,52.886,1.835
cyber-enabled activities continue to pose an unusual,54.721,3.303
and extraordinary threat to our national,58.024,1.635
"security and economic prosperity, and therefore",59.659,2.569
he has determined that it was necessary to continue,62.228,2.336
this national emergency.,64.564,1.668
"Last night, a federal judge in Hawaii put",66.232,1.802
an indefinite hold on the President&amp;#39;s executive,68.034,1.869
order that was issued on national security.,69.903,3.203
The Department of Justice is reviewing the ruling,73.106,2.102
and is considering the best way to defend,75.208,2.803
the President&amp;#39;s lawful and necessary order.,78.011,2.536
This ruling is just the latest step that will,80.547,1.902
allow the administration to appeal.,82.449,2.602
"Just a week ago, the U.S. District Court",85.051,1.668
in the Eastern District of Virginia upheld the President&amp;#39;s,86.719,2.303
order on the merits.,89.022,1.368
The White House firmly believes that this order,90.39,2.002
"is lawful and necessary, and will ultimately be",92.392,2.769
allowed to move forward.,95.161,2.603
"This morning, we announced that the President will",97.764,1.702
host President Xi of China at Mar-a-Lago on April 6th and 7th.,99.466,4.437
The President looks forward to meeting with,103.903,2.036
President Xi and exchanging views on,105.939,1.801
each other&amp;#39;s respective priorities and to chart,107.74,2.503
a way forward on a bilateral relationship between,110.243,2.169
our two nations.,112.412,1.368
"They will discuss the issues of mutual concern,",113.78,2.035
"including North Korea, trade, and regional security.",115.815,3.671
"Now, on to some of the events of today.",119.486,1.935
"This morning, the President had a meeting",121.421,1.635
with Treasury Secretary Mnuchin.,123.056,2.369
"The Secretary, along with the National Economic",125.425,1.902
Council and the rest of the President&amp;#39;s team,127.327,2.502
of experts have been meeting with and hearing from,129.829,2.469
stakeholders on all sides of the tax reform debate.,132.298,3.671
Tax reform has been a centerpiece of the President&amp;#39;s,135.969,1.902
economic agenda from the beginning of his campaign.,137.871,3.303
The team is weighing the best option to develop,141.174,1.902
a plan that will provide significant middle-class,143.076,2.702
tax relief and make American businesses more competitive.,145.778,3.637
Enacting the first significant tax reform,149.415,2.069
since the 1980s is going to be a serious undertaking.,151.484,3.37
"And we are at the first stages of this process,",154.854,2.836
"beginning to engage with members of Congress,",157.69,1.769
"policy groups, business leaders, industry,",159.459,2.602
"constituents from around the country, and other stakeholders.",162.061,3.704
Tax reform has been a part of the political,165.765,1.568
"discussion for years, and, accordingly, lots",167.333,2.403
of people have a lot of ideas about it.,169.736,2.135
We intend to hear from them.,171.871,1.969
He and his team will continue to meet with,173.84,1.635
those who support and oppose the various policy,175.475,2.769
"options, as they all are still on the table,",178.244,2.002
because the President is committed to delivering,180.246,1.969
results that the American people and American,182.215,2.035
businesses will be able to see and feel in their paychecks.,184.25,3.604
"On the Hill this morning, the President was glad",187.854,1.835
that the nominations of his Secretary of Agriculture,189.689,2.87
designate Governor Sonny Perdue and Secretary of Labor designate,192.559,3.47
advanced out of committee.,196.029,1.535
Although he was disappointed to see that,197.564,1.835
Democratic senators who had previously expressed,199.399,1.935
"their support for Alex Acosta, the Labor",201.334,2.869
"Secretary-designee, nonetheless, while they",204.203,3.337
"had previously supported him, seem to have stuck",207.54,1.635
to a party-line vote.,209.175,1.668
The President looks forward to having them,210.843,1.335
officially on the team and in the Cabinet as soon as possible.,212.178,3.57
"Also, this morning, the Department of Commerce and",215.748,2.002
First Responder Network Authority FirstNet,217.75,2.503
announced that AT&amp;amp;T will build the first nationwide,220.253,2.202
"broadband, a network dedicated to America&amp;#39;s",222.455,2.469
first responders.,224.924,0.868
This step was part of the 9/11 Commission&amp;#39;s,225.792,2.402
recommendations on improving the ability,228.194,1.568
"of our police, fire, and emergency medical",229.762,2.436
personnel to communicate seamlessly across,232.198,2.236
"jurisdictions, which is critical to their missions.",234.434,3.036
It&amp;#39;s also a sign of the incredible ability of,237.47,2.536
public-private partnerships to drive,240.006,1.802
innovation and solve some of our biggest problems,241.808,2.836
while also creating jobs and growing the economy.,244.644,3.603
"Back to the schedule, this afternoon the President",248.247,1.635
hosted a legislative affairs lunch on opioid and drug abuse.,249.882,3.571
The lunch was an opportunity to discuss,253.453,1.835
the goals and agenda of the President&amp;#39;s Commission,255.288,2.669
"on Combatting Drug Addiction and the Opioid Crisis,",257.957,2.836
which he established yesterday.,260.793,2.703
"The commission, which is going to be chaired by new",263.496,2.002
"Jersey Governor Chris Christie, is the next step",265.498,2.436
in the President&amp;#39;s promise to the American people,267.934,1.968
that he would take real action to keep drugs from,269.902,2.403
pouring into our country and corrupting,272.305,1.668
our communities.,273.973,1.235
"Under Governor Christie&amp;#39;s leadership, and working",275.208,1.768
closely with the White House Office of American,276.976,1.935
"Innovation, the commission will bring together",278.911,2.203
leaders on both sides of the aisle to find the best,281.114,1.935
ways to treat and protect the American people,283.049,2.97
from this epidemic.,286.019,3.637
Many members in attendance at the lunch played,289.656,2.168
a key part in passing the bipartisan Comprehensive,291.824,3.037
"Addiction and Recovery Act, also known as CARA,",294.861,2.969
the first major federal addiction legislation in,297.83,3.204
