text,start,duration
Mr. Spicer: Good afternoon.,3.7,1.32
"As you all know, the President will be speaking",5.02,2.34
"this afternoon in Louisville, and we&amp;#39;ve got",7.52,1.54
"an event coming up, so I&amp;#39;ll try to keep this",9.18,2.76
relatively short to focus on -- let the President,11.945,2.502
focus on his message for the day.,14.447,2.87
"In regard to the news of the day, this morning,",17.317,3.336
"after receiving his daily intelligence briefing, the",20.653,2.369
"President met with Bill Gates, the co-chair and",23.022,2.67
trustee of the Bill and Melinda Gates Foundation.,25.692,2.803
The President and Mr. Gates talked about,28.495,2.102
their shared commitment to finding and stopping,30.597,1.968
disease outbreaks around the world.,32.565,2.303
The President particularly commended Mr. Gates for,34.868,4.17
the Gates Foundation&amp;#39;s work in global health and,39.038,2.636
health security.,41.674,1.335
Generous and innovative private philanthropy,43.009,2.236
"groups, like the Gates Foundation, are critical",45.245,3.203
to our mission of finding the cures of tomorrow.,48.448,2.636
"Also this morning, the confirmation hearings in",51.084,2.302
the Judiciary Committee began for the President&amp;#39;s,53.386,4.304
"nominee for the Supreme Court, Judge Neil Gorsuch.",57.69,2.636
As the judge will continue to show throughout this,60.326,1.335
"process, he&amp;#39;s eminently qualified for this",61.661,1.335
"position, with impeccable academic credentials, a",62.996,1.368
"brilliant legal mind, and a proven commitment to the",64.364,1.334
Constitution.,65.698,0.668
"On Tuesday and Wednesday, Judge Gorsuch will be",66.366,1.334
questioned by each member of the panel.,67.7,1.335
"And on Thursday, we anticipate things to",69.035,1.335
conclude with a panel of witnesses.,70.37,1.334
The President was glad to see so many people convey,71.704,5.005
their support in the last few days for Judge,82.982,2.436
Gorsuch.,85.418,1.035
"Just this past weekend, Senator Grassley, former",86.453,2.502
"New York Mayor Bloomberg, editorial boards from",88.955,2.936
"across the country, and several of his former",91.891,1.769
colleagues and classmates either penned op-eds and,93.66,2.869
"editorials or provided comments, one way or",96.529,2.503
"another, stating his impeccable qualifications",99.032,3.703
for the bench.,102.735,1.702
"They add to the long list of jurists, politicians,",104.437,2.669
and elected officials from both sides of the aisle,107.106,2.57
who have already given the judge their support.,109.676,2.502
The President looks forward to watching Judge,112.178,1.468
Gorsuch continue to show the Senate what an,113.646,2.403
"extraordinary addition he will be to the bench, and",116.049,2.436
is confident that he will be confirmed.,118.485,2.435
"Later in the morning, the President had a meeting",120.92,1.535
"with Speaker Ryan, Secretary of Health and",122.455,2.369
"Human Services Dr. Tom Price,",124.824,2.236
and Dr. Zeke Emanuel.,127.06,1.768
Dr. Emanuel has been intimately involved in,128.828,1.969
crafting healthcare policy since his,130.797,1.568
work on Obamacare.,132.365,0.801
"Obviously, he and the President have some",133.166,3.103
differing views on the best way to make,136.269,3.403
"healthcare affordable and accessible, but the",139.672,2.002
President also strongly believes that the health,141.674,2.169
and wellbeing of the American people shouldn&amp;#39;t,143.843,2.036
"always be a partisan issue, and he will",145.879,1.635
continue to reach across party lines and listen to,147.514,3.036
voices on this issue.,150.55,1.068
Last week he heard from individuals and families,151.618,2.669
who have suffered from the disastrous,154.287,2.369
results of Obamacare.,156.656,1.268
"He&amp;#39;s previously spoken to healthcare policy groups,",157.924,2.803
"Republican congressional leadership, and health",160.727,2.502
insurance companies.,163.229,1.335
"This week, he and his staff will have",164.564,1.501
discussions on women in healthcare while,166.065,2.203
continuing an open dialogue with,168.268,1.534
members of Congress.,169.802,1.802
And he will be hosting even more meetings and,171.604,2.736
listening sessions in the coming weeks as he works,174.34,2.703
with Congress to bring commonsense reforms to our,177.043,1.969
healthcare system.,179.012,1.334
The President has shown that he&amp;#39;s willing to hear,180.346,1.535
"from all stakeholders in the healthcare field, and",181.881,2.67
he will continue to listen as the process on the,184.551,2.769
American Health Care Act moves along and we pursue,187.32,3.07
the additional legislative and administrative,190.39,2.269
actions necessary.,192.659,1.568
"This afternoon, the President had lunch with",194.227,1.668
"the Vice President, and as we speak he&amp;#39;s meeting with",195.895,2.77
Secretary of State Tillerson.,198.665,1.735
The Secretary just returned from an,200.4,1.501
important trip to Asia.,201.901,1.935
He made it clear that America is committed to,203.836,1.769
"our allies, Japan and the Republic of Korea, and",205.605,3.17
that we expect China to increase its role in,208.775,2.102
persuading North Korea to move away from nuclear,210.877,2.669
weapon and ballistic missile development and,213.546,2.136
toward steps to create a better future for the,215.682,2.335
North Korean people.,218.017,1.602
This trip set the stage for future leader-level,219.619,2.869
engagement between the U.S. and China.,222.488,3.104
"During this meeting, he will debrief the",225.592,1.668
President on his trip.,227.26,1.868
"Later this afternoon, the President will welcome",229.128,1.936
Prime Minister al-Abadi of Iraq.,231.064,3.136
The Iraqi people have been a brave and steadfast,234.2,2.136
"partner in our shared fight against ISIS, al",236.336,2.435
"Qaeda, and radicalism.",238.771,1.702
