text,start,duration
Mr. Spicer: Good morning.,1.601,1.034
"First off, I want to acknowledge, as the",2.635,1.836
"President did this morning, that today is",4.471,1.768
International Women&amp;#39;s Day.,6.239,1.535
It&amp;#39;s also Women&amp;#39;s History Month.,7.774,1.468
We&amp;#39;re going to be holding several events throughout,9.242,2.436
the month here at the White House to honor and,11.678,2.135
celebrate women and how their vital contributions,13.813,2.736
"have and continue to be to our society, our economy,",16.549,3.704
our family and our businesses.,20.253,1.668
The President tweeted this morning about the surge in,21.921,1.902
hiring in the two months that he&amp;#39;s been in office.,23.823,3.17
LinkedIn&amp;#39;s workforce reports say January and,26.993,2.369
February were the strongest consecutive,29.362,1.602
months for hiring in over a year and a half.,30.964,2.869
A new report from ADP and Moody&amp;#39;s showed strong,33.833,3.237
private job growth that is far exceeding,37.07,2.169
market expectations.,39.239,1.568
"And just this morning, Samsung confirmed that",40.807,2.169
it&amp;#39;s planning a &amp;quot;major investment&amp;quot; in U.S.,42.976,2.602
"production facilities, directly citing the",45.578,2.136
President&amp;#39;s election as an influence in,47.714,1.635
their decision.,49.349,1.201
The initial investment is expected to reach,50.55,1.835
around $300 million.,52.385,2.636
We keep seeing that the wave of optimism in growth,55.021,2.536
in the wake of the President&amp;#39;s pledges to,57.557,2.035
help American businesses continues to produce real,59.592,2.736
results for people throughout our nation.,62.328,2.203
Yesterday I forgot to -- there are a couple of,64.531,4.07
"things that I didn&amp;#39;t get to yesterday, so let me",68.601,1.502
mention a couple of those.,70.103,2.002
"Yesterday afternoon, the Secretary of Veterans",72.105,1.568
"Affairs, Dr. David Shulkin, and senior White",73.673,2.636
House staff met with several veteran service,76.309,2.436
organizations -- included in what is commonly,78.745,2.202
referred to as the Big Six -- to discuss the,80.947,2.87
President&amp;#39;s commitment to helping our veterans and,83.817,2.502
modernizing our VA.,86.319,1.335
The meeting represented another step in fulfilling,87.654,2.669
the President&amp;#39;s promise to the men and women who have,90.323,2.836
served our nation so honorably.,93.159,2.036
