text,start,duration
Mr. Spicer: Good afternoon.,0.5,1.268
"As many of you are aware, there&amp;#39;s currently",1.768,2.002
"some news breaking out of Afghanistan, so I just",3.77,1.868
want to give you a quick update.,5.638,1.736
At around 7:00 p.m.,7.374,1.534
"local time in Afghanistan last night, the United States",8.908,3.771
military used a GBU-43 weapon,12.679,3.437
in Afghanistan.,16.116,1.735
"The GBU-43 is a large, powerful and accurately",17.851,3.136
delivered weapon.,20.987,1.502
We targeted a system of tunnels and caves,22.489,2.736
"that ISIS fighters used to move around freely, making it easier",25.225,4.571
for them to target U.S. military advisors and Afghan forces,29.796,3.637
in the area.,33.433,1.168
The United States takes the fight against ISIS,34.601,2.269
very seriously.,36.87,1.301
"And in order to defeat the group, we must deny them",38.171,2.269
"operational space, which we did.",40.44,2.769
The United States took all precautions necessary,43.209,2.236
to prevent civilian casualties and collateral,45.445,3.003
damage as a result of the operation.,48.448,2.235
"Any further details, I would refer you",50.683,1.736
to the Department of Defense on that.,52.419,2.869
"Moving on, as you may know from the schedule,",55.288,2.703
"the President has a 2:00 p.m. event, so I&amp;#39;m going to try",57.991,2.402
to keep this rather tight so the pool has an opportunity,60.393,2.069
to get in and set up appropriately.,62.462,2.569
"Earlier today, the President signed H.J. Res. 43,",65.031,3.303
bringing the total number of Congressional Review Act,68.334,2.67
legislation pieces that he has signed now to 13.,71.004,3.67
This resolution that he signed today overturns,74.674,2.102
a regulation that was put in place by the previous,76.776,2.069
administration on their way out the door that would,78.845,2.536
have taken away the right of states to set,81.381,1.902
their own policies and priorities for Title 10,83.283,3.57
family-planning programs.,86.853,2.169
Our federal system was set up to allow states,89.022,1.902
to address the unique needs of their own populations,90.924,2.469
"when possible, especially -- comes to programs",93.393,2.836
as important and sensitive as family planning.,96.229,3.003
"With the bill signing, the President has restored",99.232,2.336
respect to states&amp;#39; rights on this particular issue.,101.568,3.036
"As I mentioned at the top, there&amp;#39;s an event at 2:00 p.m.",104.604,3.47
where the President will be meeting with the brave,108.074,1.869
first responders who were involved in the I-85 Bridge,109.943,3.803
collapse and thank them -- that occurred,113.746,2.269
in Atlanta to thank them for their work and dedication,116.015,2.703
in addressing this horrible situation.,118.718,3.771
The bridge collapse during rush hour on March 30th --,122.489,3.103
but due to the heroic efforts of Atlanta&amp;#39;s first,125.592,2.302
"responders, some of whom will be here today,",127.894,3.27
no lives were lost.,131.164,1.668
The President is proud to hose these brave,132.832,1.502
individuals and honor their commitment,134.334,1.468
to protecting their community.,135.802,1.835
"Later this afternoon, the President will head",137.637,1.602
to Florida for the Easter holiday.,139.239,2.168
He will be departing Joint Base Andrews,141.407,1.769
"via motorcade, as the preparations for the",143.176,2.536
Easter Egg Roll are well underway on the South,145.712,1.735
"Lawn, preventing a Marine One departure.",147.447,2.536
And while we&amp;#39;re on the topic -- I know it was,149.983,1.468
"brought up the other day, so just to give you quick",151.451,1.802
notes on what to expect this coming Monday.,153.253,2.869
"We expect more than 21,000 people to attend",156.122,2.536
the Easter Egg Roll.,158.658,1.235
The allocations of tickets have been given,159.893,1.668
"to schools, children&amp;#39;s hospitals, and military",161.561,2.669
and law enforcement families.,164.23,1.669
Commemorative eggs will be handed out,165.899,1.668
to the children who attend.,167.567,2.302
"Nearly 18,000 eggs were ordered, which is in line",169.869,2.77
with past years.,172.639,0.867
"The event will start at 7:30 a.m., with different",173.506,2.369
groups of guests arriving every two hours to ensure,175.875,2.336
that all the children have an opportunity to participate,178.211,2.803
in more than a dozen activities,181.014,1.801
that will be available.,182.815,1.235
