text,start,duration
"Mr. Spicer: Good morning, everyone.",2.936,1.568
The Press: Afternoon.,4.504,0.601
Mr. Spicer: Thank you.,5.105,0.5
Appreciate the --,5.605,1.935
John Roberts fact-checking from the seat.,7.54,2.036
(Laughter.),9.576,2.235
Good morning -- good afternoon.,11.811,1.502
(Laughter.),13.313,0.7
"It&amp;#39;s not my fault, it&amp;#39;s on the paper.",14.013,2.269
After receiving his daily intelligence briefing this,17.584,1.768
"morning, the President led a National Economic",19.352,2.369
Council listening session with CEOs of small,21.721,3.003
and community banks.,24.724,1.502
"Since 2008, the number of small banks has",26.226,2.302
declined 30 percent.,28.528,2.436
The dramatic increase in regulation following the,30.964,2.335
financial crisis has been a major driving force in,33.299,3.204
the decline of these banks.,36.503,1.835
"Dodd-Frank alone has resulted in 22,000 pages",38.338,3.403
of new regulations.,41.741,1.702
While large banks can hire armies of compliance,43.443,2.169
officers whose sole purpose it is to ensure,45.612,2.836
"they meet the ever-growing number of regulations, it",48.448,2.869
increases the cost of doing business for,51.317,1.802
"community banks, leading some not to engage in some",53.119,3.003
"forms of lending, or simply due to the time and",56.122,3.137
costs involved.,59.259,1.268
Our community banks are key funding sources for,60.527,2.102
"small-business owners, entrepreneurs, farmers and",62.629,3.136
"ranchers across the country, many of whom",65.765,2.369
can&amp;#39;t qualify for traditional loans.,68.134,2.77
They provide approximately half of all loans to,70.904,2.102
small businesses.,73.006,1.268
By reforming the regulatory system so that,74.274,2.102
"it is efficient, effective, and",76.376,1.902
"appropriately tailored, we will stop treating these",78.278,2.702
critical institutions in our communities the same,80.98,2.603
as banks that have exponentially more in,83.583,2.536
"assets, enabling them to engage even more with",86.119,3.003
small businesses and entrepreneurs that,89.122,2.336
stimulate local economies.,91.458,2.002
The banks participating in this listening session are,93.46,2.068
members of the American Bankers Association and,95.528,2.269
the Independent Community Bankers of America.,97.797,2.736
A full participant list is available to those,100.533,2.269
who are interested.,102.802,1.201
Yesterday I noted the continued signs of good,104.003,2.436
"news in our economy in terms of hiring, and the",106.439,2.603
morning reports showed that consumer comfort has,109.042,2.602
risen to the highest level in a decade.,111.644,2.303
I&amp;#39;m sure last night you also saw the report that,113.947,2.168
illegal southwest border crossings are down by an,116.115,2.703
"extraordinary 40 percent, a significant deviation",118.818,3.07
even when you consider the seasonal trends.,121.888,2.436
These measures reflect that both the economy and,124.324,2.002
the border are already responding to the,126.326,2.269
"President&amp;#39;s agenda, even while we&amp;#39;re still in the",128.595,1.935
beginning stages of putting his,130.53,1.969
policies in place.,132.499,1.568
The country and the world are clearly ready and,134.067,2.002
waiting for the change that the President,136.069,1.902
campaigned on and is already delivering.,137.971,2.869
"Right now, the President is holding a legislative",140.84,1.769
affairs lunch with OMB Director Mulvaney and key,142.609,2.669
members of Congress on his plans for the federal,145.278,1.969
budget and repeal and replace that,147.247,3.036
we&amp;#39;ve talked about.,150.283,1.134
This is just the latest opportunity to continue,151.417,1.969
the dialogue between the President and members on,153.386,2.302
Capitol Hill on turning his ambitious,155.688,2.169
agenda into action.,157.857,2.169
The strong relationship between President and,160.026,2.302
congressional leaders will be key as the budget,162.328,1.869
process moves along.,164.197,1.735
"As Director Mulvaney has been saying, our budget",165.932,2.569
"blueprint will be released in mid-March, and the",168.501,2.369
President is working collaboratively with both,170.87,2.403
his Cabinet and Congress to create a budget that,173.273,2.669
keeps the President&amp;#39;s promises to secure the,175.942,2.102
country and make the most efficient use of,178.044,2.503
taxpayer money.,180.547,1.401
In attendance at the meeting from Capitol Hill,181.948,1.835
"are Senator Crapo, the Chairman of the Senate",183.783,2.169
"Banking Committee, Chairman Cochran; the",185.952,2.903
Senate Chairman of the Senate Appropriations,188.855,1.835
"Committee; Senator Mike Enzi, the Chairman of the",190.69,2.269
Senate Budget Committee; Senator Bob Corker of the,192.959,2.502
Senate -- member of the Senate Budget Committee;,195.461,2.703
"Congresswoman Black, the Chairman of the House",198.164,2.169
"Budget Committee; Congressman Thornberry,",200.333,2.169
the Chairman of the House Armed Services Committee;,202.502,2.169
Congressman Jim Jordan of Ohio; Congressman Meadows,204.671,3.27
of North Carolina; the Chairman of the House,207.941,2.435
Freedom Caucus; and,210.376,1.368
Congressman Rokita of Indiana.,211.744,2.136
"Later this afternoon, the President will meet with",213.88,2.636
former Secretary of Commerce Pete Peterson.,216.516,2.536
Then the President has a meeting with Secretary of,219.052,1.868
Homeland Security Kelly and the Director of the,220.92,2.336
"CIA, Mike Pompeo.",223.256,1.134
"And finally, the President will make remarks to the",224.39,2.536
"Senate Youth Program around 4:00 today, a",226.926,2.536
tradition that began with President Kennedy and has,229.462,2.302
continued through every administration.,231.764,2.403
The President is honored to be speaking to this,234.167,1.735
distinguished group of young men and women who,235.902,2.269
are interested in pursuing careers in public service.,238.171,3.17
"I also want to mention that right about now, the",241.341,1.601
Vice President is giving the keynote remarks at the,242.942,2.703
Latino Coalition&amp;#39;s Policy Summit.,245.645,3.17
His remarks focus on the particularly negative,248.815,1.902
"impact of Obamacare on small businesses, many of",250.717,3.103
"who have been unable to hire more workers, or were",253.82,2.402
forced to scale down their operation due to high,256.222,3.036
taxes and burdensome requirements that were,259.258,2.036
imposed by the law.,261.294,1.902
The President is dedicated to improving the,263.196,1.701
"healthcare system for every American, including",264.897,2.536
small businesses owners who have especially been,267.433,2.203
suffered -- have had to suffer through complying,269.636,2.435
with thousands of pages of regulations and rules.,272.071,3.137
That&amp;#39;s exactly why he&amp;#39;s working with Congress to,275.208,2.769
"enact the American Health Care Act, which he was",277.977,2.269
glad to wake up this morning and see approved,280.246,1.668
by the House Ways and Means Committee.,281.914,1.769
"Also today, the President was pleased to see his",283.683,2.002
"Ambassador to Israel, David Friedman,",285.685,2.102
voted out of committee.,287.787,1.368
"We had hoped to see Seema Verma, who would be",289.155,2.769
confirmed as the administrator this week as,291.924,2.036
the administrator of Health Centers for,293.96,3.704
Medicare and Medicaid Services at the Department,297.664,2.802
of Health and Human Services.,300.466,2.069
"Unfortunately, Senate Democrats continue to",302.535,2.002
unnecessarily delay her confirmation.,304.537,2.469
At this critical time when we&amp;#39;re talking about,307.006,1.802
"healthcare, it&amp;#39;s ironic that they refuse to",308.808,2.102
consider someone with such amazing expertise,310.91,2.503
in this area.,313.413,1.268
Seema Burma has worked for over 20 years in,314.681,2.535
healthcare policy.,317.216,1.669
She has redesigned Medicaid programs in,318.885,1.701
"several states, including Indiana, Iowa,",320.586,2.57
Ohio and Kentucky.,323.156,1.801
"She&amp;#39;s worked with governors&amp;#39; offices, state",324.957,1.702
"Medicaid agencies, state health departments, state",326.659,2.903
"departments of insurance, as well as private",329.562,2.169
companies and foundations.,331.731,1.535
She&amp;#39;s unquestionably and uniquely qualified for her,333.266,2.669
"position, and especially now that health reform is",335.935,2.536
