text,start,duration
"Mr. Spicer: I know the pool is gathering at 1:30 p.m.,",1.167,1.869
so I&amp;#39;m going to try and keep this on the short end.,3.036,2.369
"This morning, the President held a listening",5.405,1.501
session with the Attorney General and the Fraternal,6.906,1.969
Order of Police with the Vice President to discuss,8.875,2.035
law enforcement issues related to terrorism,10.91,2.503
and inner-city violence.,13.413,1.702
The Fraternal Order of Police is the world&amp;#39;s,15.115,1.968
largest organization of sworn law enforcement,17.083,2.736
"officers, with more than 330,000 members.",19.819,3.504
They represent those who dedicate their lives,23.323,2.602
to protecting and serving.,25.925,1.669
They advocate for improved working conditions for law,27.594,2.269
enforcement officers and for the safety of our communities.,29.863,3.003
The President thanked the FOP leadership for their,32.866,2.669
support and reaffirmed his pledge to have our back.,35.535,3.67
The President also remarked that his highest,39.205,1.835
duty is the security of our people and pointed to,41.04,2.603
several actions that he&amp;#39;s already taken to enhance,43.643,2.703
"our domestic security, including the creation of",46.346,2.769
a Task Force on Reducing Violent Crime;,49.115,2.836
an Inter-Agency Task Force to Dismantle Criminal,51.951,2.47
Cartels; and historic action to secure our,54.421,3.203
borders and remove criminals from our country.,57.624,1.802
The group held an in-depth discussion about the rise,59.426,2.936
"of violent crime in some parts of the country,",62.362,1.835
the disturbing increase in members of law enforcement,64.197,2.736
"being targeted in ambush style attacks,",66.933,2.569
and the need to address the country&amp;#39;s opioid epidemic.,69.502,4.571
Attorney General Sessions told the FOP leadership,74.073,2.169
that he looks forward to continuing to work closely,76.242,2.169
with them to tackle the challenges facing law,78.411,1.902
enforcement as they work to keep our communities safe.,80.313,3.27
"This afternoon, as I mentioned at the top,",83.583,1.702
the President will sign an executive order on energy,85.285,2.402
independence at the Environmental Protection,87.687,2.302
Agency Headquarters.,89.989,1.569
The President strongly believes that protecting,91.558,2.068
the environment and promoting our economy,93.626,2.169
are not mutually exclusive goals.,95.795,2.67
This executive order will help to ensure that we have,98.465,2.869
clean air and clean water without sacrificing,101.334,2.903
economic growth and job creation.,104.237,2.569
"First, it directs all agencies to conduct a",106.806,2.336
"review of all regulation, rules, policies,",109.142,3.07
and guidance documents that put up roadblocks to,112.212,2.902
domestic energy production and identify the ones that,115.114,3.104
are not either mandated by law or actually,118.218,3.003
contributing to the public good.,121.221,2.402
It also rescinds a number of the previous,123.623,2.069
administration&amp;#39;s actions that don&amp;#39;t reflect this,125.692,3.436
administration&amp;#39;s priorities.,129.128,1.936
"The full list is laid out in the executive order,",131.064,1.868
"which will be provided to you later today, after",132.932,2.336
the President signs it.,135.268,1.668
"Next, the order directs the EPA to take several",136.936,2.57
actions to reflect this President&amp;#39;s environmental,139.506,2.902
"and economic goals, including a review",142.408,3.137
of the new performance standards for coal-fired,145.545,2.936
and natural-gas-fired power plants that amounted to,148.481,2.403
a de facto ban on new coal plant production,150.884,3.169
in the United States.,154.053,1.435
"This is great news for states like Wyoming,",155.488,2.036
"West Virginia, Kentucky, Pennsylvania and others.",157.524,3.303
"Finally, the order establishes a directive for agencies to use",160.827,2.969
the best available science and economics in their regulatory,163.796,3.304
analysis moving forward.,167.1,2.335
"For too long, the federal government has acted like",169.435,1.836
a barrier to energy independence and innovation.,171.271,2.836
"By reducing unnecessary regulatory obstacles,",174.107,2.869
we&amp;#39;ll free up American energy companies,176.976,2.102
"to responsibly use our vast energy resources,",179.078,3.17
protecting the environment while creating well-paying,182.248,2.269
jobs throughout the country.,184.517,2.236
American electricity producers have already,186.753,2.736
done an amazing job of adapting and utilizing new,189.489,3.537
technologies to deliver clean power to the United States.,193.026,4.204
"Under President Trump, the federal government",197.23,1.902
is going to acknowledge that progress and adjust,199.132,3.603
its priorities accordingly.,202.735,2.036
"Moving on, later in the afternoon, the President",204.771,1.701
will meet with Secretary of State Tillerson,206.472,1.836
and Secretary of Homeland Security Kelly.,208.308,2.602
"And this evening, the President and the First Lady",210.91,1.669
will host a reception here in the White House,212.579,2.002
for senators and their spouses.,214.581,1.634
This will be the first time that President Trump,216.215,2.703
has invited all current senators to the White,218.918,1.769
"House, and he looks forward to this",220.687,1.935
"opportunity, as well as to speak with some of",222.622,1.802
the senators about the places where they can come together,224.424,2.602
and make this country better.,227.026,1.635
One of those places that he hopes to find common,228.661,1.869
ground with Senate Democrats here tonight is,230.53,2.502
the confirmation of Judge Neil Gorsuch to the Supreme Court.,233.032,3.938
"Yesterday, many Senate Democrats began declaring",236.97,2.035
support for Senate Minority Leader Chuck Schumer&amp;#39;s,239.005,2.369
partisan filibuster of Judge Neil Gorsuch.,241.374,2.603
"And as I&amp;#39;ve said, these senators should get -- if",243.977,2.135
"these senators get their way, this would be the",246.112,2.002
first successful filibuster of a nominee,248.114,2.035
to join the Supreme Court.,250.149,1.702
Leading Democrats have lamented these tactics,251.851,2.002
as recently as last year.,253.853,1.869
"Senator Schumer, in fact, wrote last year in an",255.722,2.035
"op-ed in the New York Daily News -- and I quote,",257.757,2.402
"&amp;quot;At a time when Americans want to move forward,",260.159,2.336
the last thing we need -- the last thing is a new recipe,262.495,4.171
for gridlock at the Supreme Court.&amp;quot;,266.666,2.002
Democrat nominee Hillary Clinton said of,268.668,2.269
the Supreme Court confirmation progress -- &amp;quot;It should not,270.937,2.736
be an exercise in political brinkmanship,273.673,2.336
"and partisan posturing,&amp;quot; and that nominees deserve a",276.009,2.836
&amp;quot;full and fair hearing followed by a vote.&amp;quot;,278.845,3.57
Senator Claire McCaskill of Missouri tweeted &amp;quot;The,282.415,2.703
constitution says the Senate shall advise and consent.,285.118,2.669
And that means having an up-or-down vote.&amp;quot;,287.787,2.169
"So, who are Senate Democrats going to enact",289.956,3.203
this on in extraordinary lengths to block?,293.159,3.17
"It&amp;#39;s an individual, frankly, who their body,",296.329,1.935
"including Senator Schumer, unanimously confirmed",298.264,2.603
for a seat on the 10th Circuit not too long ago.,300.867,2.803
This is a judge who received a unanimous &amp;quot;well,303.67,2.235
"qualified rating&amp;quot; by the American Bar Association,",305.905,2.936
was a Harvard Law graduate who received,308.841,1.735
