text,start,duration
"Mr. Spicer: Hey guys, good afternoon.",0,3.603
We moved up the briefing a little bit today in,3.603,3.27
deference to the President&amp;#39;s visit to the,6.873,2.202
Department of Homeland Security.,9.075,1.335
As soon as he gets going over there I&amp;#39;m going to,10.41,2.235
wrap up so we&amp;#39;ve got a little while together.,12.645,2.77
But we&amp;#39;ll try to make sure that in deference to his,15.415,3.103
remarks when he gets there we&amp;#39;ll wrap it up.,18.518,1.835
"After briefing yesterday, the President brought",20.353,3.337
leaders of both parties together to discuss his,23.69,2.102
next nomination to the Supreme Court.,25.792,2.903
It&amp;#39;s an incredibly productive conversation as,28.695,1.868
you can see from the President&amp;#39;s tweets.,30.563,1.936
He will announce that nomination next Thursday.,32.499,2.335
The President also spoke with Prime Minister Modi,34.834,2.703
of India yesterday.,37.537,0.934
"Unfortunately, I wasn&amp;#39;t able to give you a read",38.471,2.102
out during the briefing.,40.573,0.935
"So, let me just let you know that during the call",41.508,2.302
the President emphasized that the United States,43.81,2.436
continues to consider India a true friend and,46.246,2.269
partner in addressing challenges,48.515,2.002
around the world.,50.517,1.101
The two discussed opportunities to,51.618,1.468
strengthen the partnership between the United States,53.086,2.035
and India in a broad area such as the,55.121,2.603
economy and defense.,57.724,1.702
They also discussed security in the region of,59.426,2.268
South and Central Asia.,61.694,2.703
President Trump and Prime Minister Modi resolved,64.397,1.769
that the United States and India should stand,66.166,1.568
shoulder to shoulder in the global fight,67.734,2.169
against terrorism.,69.903,1.334
And President Trump looks forward to hosting Prime,71.237,2.169
Minister Modi in the United States,73.406,1.635
later this year.,75.041,1.368
"Today, the President is focused on fulfilling one",76.409,2.302
of his most significant campaign promises to the,78.711,3.604
American people by making America safe again.,82.315,2.903
By taking steps to secure our borders and improve,85.218,2.436
immigration enforcement inside the United States.,87.654,3.203
The President intends to sign two executive orders,90.857,2.803
after observing the swearing in of Secretary,93.66,2.836
of Homeland Security Kelly.,96.496,1.268
The first order is the border security and the,97.764,4.705
immigration enforcement improvements.,102.469,2.369
It addresses long overdue border security issues and,104.838,3.136
the first order in that will be to build a large,107.974,3.37
physical barrier on the southern border.,111.344,2.903
Building this barrier is more than just a campaign,114.247,1.902
promise it&amp;#39;s a common sense first step to really,116.149,4.237
securing our poorest border.,120.386,2.069
"This will stem the flow of drugs, crime, illegal",122.455,2.87
"immigration, into the United States.",125.325,2.435
"And, yes, one way or another, as the President",127.76,2.069
"has said, Mexico will pay for it.",129.829,2.336
The executive order also provides the dedicated men,132.165,2.769
and women of the Department of Homeland,134.934,1.902
Security with the tools they need -- the tools and,136.836,3.37
the resources they need to stop illegal immigration,140.206,2.736
from entering the United States.,142.942,2.269
Under the Constitution the American people get the,145.211,2.269
final say who can and cannot enter our nation.,147.48,3.037
And they&amp;#39;ve spoken loud and clearly,150.517,1.368
through our laws.,151.885,1.101
We&amp;#39;re going to create more detention space for,152.986,1.735
illegal immigrants along the southern border to,154.721,2.302
make it easier and cheaper to detain them and return,157.023,2.469
them to their country of origin.,159.492,1.735
We&amp;#39;re going to end the last administrations,161.227,2.303
dangerous catch and release policy which has,163.53,2.435
led to the deaths of many Americans.,165.965,2.836
We&amp;#39;re going to once again prioritize the prosecution,168.801,2.47
and deportation of illegal immigrants who&amp;#39;ve also,171.271,2.636
otherwise violated our laws.,173.907,2.335
And after these criminals spend time in prison for,176.242,2.069
the crimes they&amp;#39;ve committed they&amp;#39;re going to,178.311,1.702
get back one way tickets,180.013,1.301
to the country of their origin.,181.314,1.602
And their governments are going to take them back.,182.916,2.302
The second executive order enhancing public safety in,185.218,2.836
the interior of the United States address the,188.054,2.903
enforcement of our immigration laws,190.957,1.635
in the United States.,192.592,1.802
And returns the power and responsibility to the,194.394,2.802
dedicated men and women of the Department of Homeland,197.196,3.003
Security&amp;#39;s immigration and custom enforcement to help,200.199,3.137
them enforce the law.,203.336,1.668
These men and women want to enforce the law and,205.004,2.336
we&amp;#39;re going to help them do that.,207.34,1.802
Federal agencies are going to unapologetically,209.142,3.036
enforce the law.,212.178,1.034
"No ifs, ands, or buts.",213.212,3.003
We&amp;#39;re going to restore the popular and successful,216.215,3.504
secure community&amp;#39;s program which will help ICE agents,219.719,3.17
target illegal immigrants for removal.,222.889,2.569
The State Department is going to withhold visas,225.458,1.969
and use other tools to make sure countries except,227.427,3.036
and return the criminals,230.463,1.602
that came from their country.,232.065,1.835
