text,start,duration
Mr. Spicer: Looks like the snow didn&amp;#39;t,1.034,0.734
keep anyone away.,1.768,1.635
Good afternoon.,3.403,0.5
I hope -- I&amp;#39;m glad to see everyone made,5.004,3.437
it safely in.,8.441,1.435
"As you may have seen last night, the President met",9.876,2.135
with D.C. Mayor Bowser and Metro general manager,12.011,3.871
Wiedefeld about the preparations,15.882,1.668
for the storm.,17.55,0.668
The President continues to closely monitor the impact,18.218,2.903
of the storm throughout the Northeast.,21.121,1.901
The White House Office of Intergovernmental Affairs,23.022,1.936
has been in touch with state and local officials,24.958,2.436
in the path of the storm to provide them,27.394,1.701
guidance and support.,29.095,1.535
"As the storm continues to track the East Coast,",30.63,2.503
"heavy to intense snow, sleet, and strong winds",33.133,3.003
could result in significant travel impacts,36.136,1.935
and possible coastal flooding.,38.071,2.602
"Again, the President encourages everyone to",40.673,1.602
listen to their state and local leaders and public,42.275,2.469
"safety officers, and follow their warnings and",44.744,2.136
closure notices.,46.88,0.8
They are working around the clock to ensure the,47.68,3.938
safety of our citizens and their families.,51.618,3.136
"In light of the storm, the schedule for today",54.754,1.969
changed a bit.,56.723,1.101
"Obviously, German Chancellor Merkel&amp;#39;s visit",57.824,2.035
was moved to Friday.,59.859,1.335
We&amp;#39;ll continue to provide you updates on the,61.194,2.302
schedule as we grow closer to Friday.,63.496,3.203
"Today, the President had lunch with the Deputy",66.699,1.736
Crown Prince and Minister of Defense of the Kingdom,68.435,2.635
of Saudi Arabia.,71.07,1.369
"This afternoon, the President will swear in",72.439,1.568
Seema Verma as the Administrator of Centers,74.007,2.068
for Medicare and Medicaid Services.,76.075,2.67
The President looks forward to having the,78.745,1.635
spectacularly qualified and experienced,80.38,2.502
"Administrator Verma finally onboard,",82.882,2.403
especially as we continue to lay the groundwork for,85.285,2.269
historic reform of our healthcare system.,87.554,2.869
"Later this afternoon, the President and Secretary of",90.423,2.403
"Health and Human Services, Dr. Tom Price, will have a",92.826,2.802
"call with the CEO of Anthem Healthcare,",95.628,2.837
Mr. Joseph Swedish.,98.465,1.634
He will then have a phone call with Speaker Ryan and,100.099,1.902
Majority Leader McCarthy to further discuss the,102.001,3.003
Republican plan to repeal and replace Obamacare with,105.004,3.27
the American Health Care Act and a series of,108.274,2.336
much-needed regulatory reforms to accompany that.,110.61,4.004
