text,start,duration
"Mr. Spicer: Good morning, everyone -- or it&amp;#39;s",0,2.635
"technically afternoon, I guess.",2.635,4.505
Sorry to move it up and screw up the schedule,7.14,1.735
"a little, but we&amp;#39;ve got a couple of events this",8.875,1.735
"afternoon so I&amp;#39;ve got to get through this, get some",10.61,3.771
questions and then got to move on.,14.381,2.802
But we&amp;#39;ve got two more on-camera briefings,17.183,2.036
the rest of the week.,19.219,2.035
"This morning, the President just wrapped up",21.254,1.902
-- or is continuing to -- I know some of the pool,23.156,1.668
just left -- but the President is currently,24.824,1.769
hosting an opioid and drug-abuse listening,26.593,1.868
"session with senior administration officials,",28.461,2.603
"governors, experts in the psychology of drug",31.064,2.536
"addiction, recovery-awareness",33.6,2.169
"advocates, and others who have been affected",35.769,2.335
by the opioid crisis.,38.104,1.769
Drug abuse has crippled communities across this nation.,39.873,3.236
"In 2015, more than 52,000 Americans -- that&amp;#39;s 144",43.109,4.738
"people a day -- died from a drug overdose, with 63",47.847,3.637
"percent involving an opioid, according to the CDC.",51.484,4.605
Drug overdoses are now the leading cause,56.089,2.169
of accidental death in our country.,58.258,2.269
As the President discussed with the group this,60.527,1.668
"morning, we won&amp;#39;t be able to address this academic",62.195,2.736
-- excuse me -- epidemic with a single solution.,64.931,2.736
"First, we must get struggling Americans the",67.667,3.237
help that they need.,70.904,1.268
Too many families have seen firsthand,72.172,1.601
"the destruction that drug abuse can bring, and we",73.773,2.903
must also focus prevention on law and enforcement.,76.676,3.337
Cheap heroin is flooding into our communities as,80.013,2.102
"drug cartels expand into the country, setting off",82.115,2.869
a chain reaction of addiction that spreads,84.984,2.603
from person to person and from family to family.,87.587,3.303
President Trump has already taken executive,90.89,1.869
action to strengthen law enforcement and dismantle,92.759,2.769
criminal cartels.,95.528,1.535
He and his team will continue to discuss how,97.063,1.635
best to root out this threat to American,98.698,2.369
communities with drug enforcement experts,101.067,1.902
as we continue this fight.,102.969,1.735
Stopping this epidemic is not -- is an issue that,104.704,4.238
"every American, regardless of your political",108.942,2.235
"background, can and must get behind.",111.177,2.236
We must work together from the leaders of the most --,113.413,2.335
from most local and community recovery and,115.748,2.703
support programs all the way to the White House,118.451,2.336
to solve this problem.,120.787,2.302
The White House took a big first step this morning,123.089,2.436
in our battle to combat drug addiction and the opioid,125.525,3.103
"crisis by meeting with these individuals, which",128.628,1.702
"included New Jersey Governor, Chris Christie,",130.33,2.502
who has been a leader on this issue.,132.832,1.835
"Attorney General Sessions, Education Secretary DeVos,",134.667,3.07
"Veterans Administration Secretary Shulkin,",137.737,2.336
"Homeland Security Secretary Kelly,",140.073,2.636
and others were in attendance.,142.709,1.434
A full list of participants has been provided.,144.143,3.671
I will say -- I know the pool was just in there --,147.814,2.536
it is -- some of the stories from some,150.35,3.069
of the individuals who have been involved in this with,153.419,1.836
a family member are unbelievably compelling.,155.255,2.736
Their desire to see and to work with the,157.991,4.337
administration to get this problem addressed is,162.328,3.17
"one that is plaguing communities, and I know",165.498,2.269
the President places it at the highest priority.,167.767,5.105
There was a mention by the drug -- the Acting,172.872,2.703
Administrator of the DEA that they have a program,175.575,4.204
"where, twice a year, they gather unwanted drugs.",179.779,3.303
Last year they gathered over a million pounds,183.082,1.702
of unwanted drugs.,184.784,1.001
"There&amp;#39;s 5,000 sites in which people across",185.785,3.07
America can drop off stuff in their medicine cabinet,188.855,2.736
that is no longer used to get it out of their house.,191.591,2.569
"The next drop-off will be on April 29th, and I think",194.16,3.37
the DEA will be putting out more information.,197.53,1.835
But when you see some of the action that was taking,199.365,3.37
"place in this report, it is truly a call to arms",202.735,3.17
for a crisis that is plaguing our country.,205.905,3.003
This afternoon the President will drop by the,208.908,2.369
Women&amp;#39;s Empowerment Panel that the White House,211.277,2.87
"is hosting, led by Florida Attorney General Pam Bondi,",214.147,4.337
"Education Secretary Betsy DeVos,",218.484,3.237
"Small Business Administrator Linda McMahon,",221.721,2.903
"U.S. Ambassador to the United Nations Nikki Haley,",224.624,2.469
"Centers for Medicare and Medicaid Services Seema Verma,",227.093,4.137
who will all speak about the unique challenges that women,231.23,2.47
and young girls face today.,233.7,2.869
