text,start,duration
Mr. Spicer: I was thinking about not doing a briefing,14.981,1.568
"today, and then I saw Reince Priebus and Steve",16.549,2.469
Bannon give that talk and I thought they were,19.018,1.435
"infringing on my ratings, so we figured we had to do",20.453,3.137
something to keep up our record.,23.59,2.569
It&amp;#39;s been another busy day today.,26.159,2.402
"This morning, after receiving his daily",28.561,1.569
"intelligence briefing, the President welcomed some of",30.13,2.068
the world&amp;#39;s top business and manufacturing leaders,32.198,2.469
to the White House to continue the,34.667,1.936
administration&amp;#39;s effort to engage with the private,36.603,1.935
sector to create jobs and expand opportunities for,38.538,3.337
America&amp;#39;s workers.,41.875,1.635
The 24 CEOs spent the morning in working,43.51,2.636
"sessions with the Vice President, Cabinet members",46.146,1.968
"and key aides, and came together with the",48.114,1.902
President to brief him on their discussions,50.016,1.668
and recommendations.,51.684,1.435
The group discussed the need to roll back,53.119,2.236
burdensome regulations that are stifling,55.355,1.535
economic growth.,56.89,1.368
The CEOs thanked the President for the actions,58.258,1.635
"that he&amp;#39;s already taken to address the issues, and",59.893,3.37
"the President pledged to do even more, both through",63.263,3.003
the executive branch and by working with Congress,66.266,3.17
to pass legislation that will help further economic,69.436,3.403
growth and job creation.,72.839,1.668
The business leaders recommended that the,74.507,1.168
administration take a multifaceted approach to,75.675,2.669
"tax and trade policies, including tax reform,",78.344,3.037
toward which Secretary Mnuchin said that progress,81.381,2.502
is continuing to be made.,83.883,1.569
The President committed to working to lower taxes and,85.452,2.469
level the playing field with other countries when,87.921,2.302
it comes to trade and taxation.,90.223,2.636
The group held a lengthy discussion about the need,92.859,1.768
to invest in the American worker to prepare for the,94.627,2.469
"manufacturing jobs of the future, especially the key",97.096,2.67
role of vocational schools in training the workforce,99.766,3.07
of the 21st century.,102.836,2.769
The CEOs and administration officials,105.605,2.302
agreed that public-private partnerships will be the,107.907,2.536
cornerstone of a robust plan to rebuild the,110.443,2.836
nation&amp;#39;s crumbling infrastructure.,113.279,2.636
The President committed to streamlining a permitting,115.915,2.803
process that is holding back so many key projects.,118.718,3.904
"At the end of the discussion, the group",122.622,2.069
expressed their excitement for having a true partner,124.691,1.935
"in economic growth in the White House, and Andrew",126.626,2.803
"Liveris, the CEO of Dow Chemical, even said that",129.429,2.636
this is probably the most pro-business,132.065,1.701
administration since the Founding Fathers.,133.766,3.337
The President conveyed his intention to assemble the,137.103,1.802
industry leaders on a regular basis to discuss,138.905,2.436
progress towards these important goals.,141.341,2.435
A full list of the participants is available.,143.776,2.87
"This afternoon, the President spoke with",146.646,1.602
Canadian Prime Minister Trudeau by phone.,148.248,2.302
We&amp;#39;ll have a readout on that call soon.,150.55,2.469
"Right now, many of you just came from the",153.019,1.635
"President, who is involved in another listening",154.654,1.902
session with leaders in the fight against domestic,156.556,2.936
"and international human trafficking, including",159.492,2.269
representatives from International Justice,161.761,2.269
Mission and United Way.,164.03,2.236
Their expertise will be invaluable to the,166.266,3.37
President as he engages with members of Congress,169.636,2.769
"to raise awareness about, and push through,",172.405,2.236
legislation aimed at preventing all forms of,174.641,2.869
the horrific and unacceptable practice of,177.51,2.336
the buying and selling of human lives.,179.846,2.502
"Human trafficking is a dire problem, both",182.348,1.936
domestically and internationally.,184.284,2.535
And solving this epidemic is a huge priority,186.819,2.036
for the President.,188.855,1.234
Dedicated men and women from across the federal,190.089,2.002
"government have focused on this for some time, and",192.091,2.503
the President is committed to continue working with,194.594,2.469
these organizations and departments.,197.063,2.569
A participant list for this listening session is,199.632,2.236
also going to be available.,201.868,1.668
The President this evening will attend a dinner with,203.536,1.702
the Business Council.,205.238,1.501
"Today in Mexico, Secretaries Tillerson and",206.739,2.002
Kelly had productive meetings at the Cabinet,208.741,2.67
level with officials from the Mexican government.,211.411,2.369
They were forward-looking meetings focused on,213.78,1.802
finding common-ground ways to advance both of our,215.582,3.603
countries&amp;#39; security and economic wellbeing.,219.185,2.002
Both sides had a candid discussion on the breadth,221.187,2.236
of challenges and opportunities as part of,223.423,2.969
the U.S.-Mexico relationship.,226.392,1.936
The conversation covered a full range of bilateral,228.328,2.102
"issues, including energy, legal migration, security,",230.43,3.37
"education exchanges, and people-to-people ties.",233.8,3.67
The parties also reiterated our joint,237.47,2.136
commitment to maintaining law and order at our,239.606,2.902
shared border by stopping potential terrorists and,242.508,2.103
dismantling the transnational criminal,244.611,1.768
networks that are moving drugs and people into the,246.379,2.035
United States.,248.414,1.602
Under this President there is no mistaking that rule,250.016,1.935
of law matters along both sides of our border.,251.951,3.37
Both Secretary Tillerson and Secretary Kelly are,255.321,2.903
meeting with President Peña Nieto this afternoon.,258.224,2.936
That will be a continuation of the,261.16,2.47
productive dialogue that is setting our two,263.63,1.868
countries down a pathway to greater security and,265.498,2.402
long-term prosperity.,267.9,1.635
"Looking ahead to our upcoming schedule,",269.535,2.369
tomorrow the President will welcome President of,271.904,1.869
Peru for a working-level visit.,273.773,1.668
The President of Peru is in town for a separate,275.441,1.902
visit and requested a meeting with,277.343,1.335
the President.,278.678,1.034
There will be a spray at the top of that.,279.712,1.635
Further guidance will be provided later today.,281.347,2.803
The President will also speak at CPAC tomorrow.,284.15,2.436
I know the President is looking forward to,286.586,2.002
addressing this group of,288.588,1.168
conservative-committed individuals.,289.756,3.67
Our nation&amp;#39;s governors are starting to gather in,293.426,1.935
Washington this week for a meeting of the National,295.361,1.735
Governors Association.,297.096,1.302
The President and the First Lady will welcome,298.398,2.168
the governors to the White House on Sunday evening.,300.566,1.836
The Vice President and members of the Cabinet,302.402,2.235
will also be in attendance.,304.637,1.201
"While the governors are in town, they will be meeting",305.838,2.002
"with members of the Cabinet, White House",307.84,1.302
